screen_name,name,location,bio,he/him,she/her,they/them,it/its,xe/xem,ze/zir
circusmxnsterr,Circus,pf art @sad-ist & @shokomixox,"19 | 🇦🇺 | minecraft & more | they/them |
ghostbur my beloved | twitch mod for @pinkoes",no,no,yes,no,no,no
radical_rypi,mossy babeeyyyyy,"Massachusetts, USA",my shoes jingle as i do my silly little gay clown dance around the court of my own life // they/them // smith '24,no,no,yes,no,no,no
Lushtakular,lushtak,midland,they/them | this fat-titted twink is my boyfriend @hyperlynx_art go buy his art,no,no,yes,no,no,no
Nohbruhdy,Catboy Alvis II,"ironically gay (bi), 17","Manipulate, MALLC, Malewife | Smash Mods | pfp @entiqua | He/They",yes,no,yes,no,no,no
hiddxncolors,Lexi / Rocket 💀 nsfr !,,graphic designer with a dying career : she / they // 20 ★,no,yes,yes,no,no,no
MissDianaHole,Miss Diana Hole,,"She’s the Hole of the town, the gal you’ve been warned about | SoFlo Queen | Affiliated LGBTQ+ Streamer | She/They | #TEAMSTREAMQUEENS",no,yes,yes,no,no,no
AMidnightScribe,Midnight Scribe #BlackLivesMatter,The web is my home!,"A gender-ignoring alcohol guzzling media freak (according to CAH!) | Writer | Enby, pan, polyam| He/They",yes,no,yes,no,no,no
rat_emojiTTV,RAT,"Melbourne, Victoria",✖️Chaotic Queer ✖️Co-Founder @AussiePrideTeam ✖️NB he/she/they✖️@streamloots Partner✖️ hello@ratshack.com.au,yes,yes,yes,no,no,no
Mtg_Stevel,MTG_Stevel - Cardboard Goblin,,"Bi-Polar Magic Streamer, decidedly average. He/Him
Twitch Affiliate
Twitch@ https://t.co/AReMuNlTis
https://t.co/2aSLxIrDdh…
Business Enq: mtgstevel@gmail.com",yes,no,no,no,no,no
LukeBoogieGames,LukeBoogie🏳️‍🌈,"Glasgow, Scotland","Giant hairy Non-Binary Dumb Bitch, Dnd Enthusiast, Twitch streamer, Gay geek, Nerd baby and rampant Demisexual.
LukeBoogieGames@gmail.com

He/She/They",yes,yes,yes,no,no,no
Pizza_Wank,Syd/Sydney,"Ontario, Canada","they/her
21,
🌼emaciated vegan goblin🌼",no,no,yes,no,no,no
gouviakun,cryschyan goevia,"Ohio, USA","My Ascendant sign is Marxist. Lot of starving, little of artist. He/Him. CCO of a company that doesn't exist.",yes,no,no,no,no,no
KawaiiPeacock,Kat,"Iowa City, IA","Cosplayer, Baker, and Meme Appreciator. Frosting and fabric are my mediums. 25🎂 She/Her 🐝 an Ally🌈",no,yes,no,no,no,no
Robyn_Rambles,Robyn-Renée,Asgaard Heights,she/her. 1/5 of @blkgirlscreate. Community Manager. Content Creator. Host of #WizardTeam and #TARBIS. Anxiety Warrior. $robynravenclaw https://t.co/qc5IW2At3Z,no,yes,no,no,no,no
abstergramm,tinklemouse,NYC,"small girl in the big apple. she/her, Ann Coulter hate account. Mami 💅🏼🍪🐱🔥",no,yes,no,no,no,no
LetsKaiKai,La Señora Pepper,"Berkeley, CA",honestly over it,no,no,no,yes,no,no
inordinarys,evangelion enjoyer,,they/them ;; mitski brainrot !!,no,no,yes,no,no,no
NamjesusTrash,_holy_trash,Namtiddies,Army and artist 💜 🏳️‍🌈 they/them,no,no,yes,no,no,no
HoatesFroel,Froel Hoates,Malewife of Kale,@TheREALKale (my love.) | artist/Gmod guy/maybe SFM | he/him and Pansexual? I don't freaking know.,yes,no,no,no,no,no
adambriggsy_,adam b.,"Leeds, England","Host of @makeitqueer the podcast. Leeds/Norwich based human. Lover of my dogs, Dolly Parton, and Drag. @leedsunienglish student. He/they.",yes,no,yes,no,no,no
freefrombinary,lesbian airbenders,in my world of oil paint,fred the they/them • to the left to the left  • artist (banner is mine) • violist • vegan for animals first • autistic🌈♿️ if you misgender me I’ll block you,no,no,yes,no,no,no
vaporelz,Proboscis-Pilled,http://vaporelz.carrd.co,💙 @machigf stan for life!💙 19 | They/Them (He/They if we're close) | Bi | Autistic | Animal Behaviour student,yes,no,yes,no,no,no
hypmicfunfacts,Emi !!,,Emi • it/its 🍬/🍬s • minor 16 ( body is 15 ) • carrd under construction,no,no,no,yes,no,no
be_em_doubleyou,BLM | squishhhh,DSM,Height: 6' 8 | Sports: Not Basketball | ISU | he/him #blacklivesmatter,yes,no,no,no,no,no
SadQueerProle,raise the min wage to $25/hr,Stolen Lenape land,"Don't take my tweets as content, I just write things I think and sometimes people like it.
Gender neutral pronouns pls.
CW for depression.",no,no,no,yes,no,no
unclesdnp,venus dan howells gf,16•they/she•,it stops the bees ★ page 48,no,no,no,yes,no,no
BennettHuman,Bennett the Human,Earth Land,"| 16 | Nonbinary | They/Them | Diagnosed Human | Gorillaz Dweeb | Not Funny |
personal acc: @hum4n4fter411",no,no,yes,no,no,no
reyinnit,rey my beloved 🌤,,↳ she//they ➤ platonically married to sol!! @sugarcrxsh666💗,no,yes,yes,no,no,no
jasminibobinii,jasmini bobini,,• 19 year old expressive artist • they/them • ig: jasminibobini • pfp by @sartzie 👹❤️ •,no,no,yes,no,no,no
29squirrels,Coppers Bad Fur Day,🌌,"Friendly bright eyed, bushy tailed, nut enthusiast 🌰 | queer 🏳️‍🌈 enby (They/Them) | Tabletop Gaming 🎲 | Writing ✍️ | Always Vaguely Exhausted ™️ ☕ | 25 🔞",no,no,yes,no,no,no
Audreythedin0,AudreytheDin0 #BLM #StopAAPIHate,The Abyss,"20 She/Her | trans | pan | poly | ADHD| Movies, smash, magic, dnd, dinosaurs, transformers, and just random thoughts. 💜 @jambamjar 💜",no,yes,no,no,no,no
namjoonslimbs,droplet⁷ NSFR PLS🇳🇬 /dilfs/hisoka hate page,"tokyo, seoul, mono",namjin. moonchild. intellectual. sorry bae. nsfw//minor ♡he/she/rain/dream/drop♡ // nb // bi(?),yes,yes,no,no,no,no
jambamjar,Jam 💚,,23 |masc adjacent nonbinary he/they | pan/poly. Bats and Squishmallows are my personality rn. 💚 @audreythedin0 💚,yes,no,yes,no,no,no
angelxaura_,🧨quartz/max/hope🧨,"1313 Straight St, NY",heyy 💣 MINOR ‼ he/she ⚠️ Sam & Max luvr 💥 read my carrd or pinned ☄ ART ACC - @angelxaura_art 💢 header by @jimmytwoteeth69 🥊,yes,yes,no,no,no,no
JakesPerkyAss,Jakes perky ass,who's this douchebag,"Viren, Nutmeg || 15 || autistic || it/po/she || gay || white || genderfluid demigirl || pfp by my bfs @_eco_system_ 💕 || @jestersTentacle ♠️",no,yes,no,yes,no,no
a_l_hu,"A.L., they/them 🥴✨","New York, USA",✨ organizer facilitator architect ✨ mutual aid world-building + design ✨ abolition & care ✨ genderqueer nonbinary ✨ they them ✨,no,no,yes,no,no,no
enbydia_,mint,"Entre Ríos, Argentina",they/he/she + cat/catself | 🇦🇷🏳️‍🌈 | 16 | i draw toons and fnaf,yes,yes,yes,no,no,no
FloralGreen97,Adam,,idk 🤷‍♀️ // they/them // HFX hardcore // https://t.co/Y5X3TeVt63,no,no,yes,no,no,no
Rabbid2143,Rabbid214,𝕎𝕚𝕥𝕙 𝕞𝕪 𝕗𝕣𝕚𝕖𝕟𝕕𝕤! ,"She/They, Autistic, Afro-Latino, Voice actor, YouTuber, streamer, writer, and artist! #BLM #StopAsianHate💖🐇",no,yes,yes,no,no,no
MoonCriedPower,Century,,"18, they/them, autistic. || Catra kinnie || Read my carrd first",no,no,yes,no,no,no
octoesfanboy,sunny • ray | @octoes_mp4 's number 1# fan,"🇧🇷, PROSHIPPER DNI OR ELSE🔪","#omoritwt || he • it || Sunny • Ray || PFP BY @SunReversed || CW Junko + DR, DRTWT DNI UNLESS I INTERACT FIRST. || 💞 @octoes_mp4 💞/r || priv: @Xx_sxnny_xX",yes,no,no,yes,no,no
octoes_mp4,Octoes | @octoesfanboy 's number #1 fan,freddy fazbear real location,i make stuff (currently learning SFM!)  ||  he/they  ||  💞 @octoesfanboy 💞 /r  ||  PFP BY @SunReversed go follow him!,yes,no,yes,no,no,no
clueingforbeggs,Ava S. Jones,"England - EN/EO, some DE/ES/RU","Autistic, ADHD(?), polyam, bi, panro, demigirlflux. Fan of a few things, mainly classic Doctor Who. Looms are canon.❓They/she, check out my linktree please.",no,yes,yes,no,no,no
raycatdad,"RJ, the gayest gay","Oregon, USA","Queer, enby cat daddio 😼 he/him 🔞
Jewitch & still learning
💀brown eyes, thick thighs, feminist vibes🍋",yes,no,no,no,no,no
TakaHebiVT,AKA. Useless Dyslexic,Where I am needed,#ENVtuber| #LGBTuber | they/he | vaguely lewd | Pre debut | owner and operator of Tenebris | PFP by @lati_oni| twitch affiliate | Trans Rights.,yes,no,yes,no,no,no
emsicicle,topaz/ems,please sb if you unfollow! ,they/them | minor | layout by @SAD_istfied,no,no,yes,no,no,no
sapnapsock,Vel!~ is inactive,they/them ~ 16,"#TUBBO : “this is checkmate, this is it! this is the end. i suggest you resign.” || if u unfollow sb pls || layout by @SAD_istfied",no,no,no,yes,no,no
