screen_name,name,location,bio,he/him,she/her,they/them,it/its,xe/xem,ze/zir
thorisotlapuu,Thor ☥,Jhb,"a soft perpetual thing.a GAY. she/her. a storyteller🎬
                                                   
°IG:https://t.co/zFzPZXV7eh",no,yes,no,no,no,no
F1amingoman,🅱️rick,,vibin he/him,yes,no,no,no,no,no
chapo_diabl0,d|^3LA,333,she / they kärlek,no,yes,yes,no,no,no
officialmarsp,mars🔌,"Riverside, CA",artist/ j🤍/ socal / ig: officialmarsp/ she/her,no,yes,no,no,no,no
freefrombinary,lesbian airbenders,in my world of oil paint,fred the they/them • to the left to the left  • artist (banner is mine) • violist • vegan for animals first • autistic🌈♿️ if you misgender me I’ll block you,no,no,yes,no,no,no
queerqegaard,Queerqegaard ✝️💈🍄,The Messianic Era,"She/Hers, Acid Com, Gnostic Heretic, God is Sovereign, Sovereignty is Liberty, Tikkun is Multiplicitous",no,yes,no,no,no,no
rachelandco,diana “abolish the police” flo$$ 🦀,somewhere,your fave enby femme. THEY/them/their$,no,no,yes,no,no,no
exhalegallagher,jay :),aus ⅐ nd,dating tami (real) || keiran - they/them,no,no,yes,no,no,no
itisleal,🌟LEE🌟,Hm??,"incoherent, he/him",yes,no,no,no,no,no
Senae_,AomiNAE 🏀,"ï¿½T: 31.962562,-95.297493",“Be so good they can’t ignore you.” #blackpodcaster #blackgirlmagic ❗️1/2 of the @Blanimepodcast @blanimepod ❗️ My YT channel: Senae’,no,no,yes,no,no,no
rachelandco,diana “abolish the police” flo$$ 🦀,somewhere,your fave enby femme. THEY/them/their$,no,no,yes,no,no,no
CoffeeBeanDaddy,Ali | #GOKU4FEH,,20 years old / Mediocre Artist / Coffee Bean Daddy#1399 / Robin main / Bisexual They/Them,no,no,yes,no,no,no
leiflikeleaf,Leif 🍂🌙,yo mama’s,They/Them. 22. 🇲🇽 BLM | ACAB. American sex symbol.,no,no,yes,no,no,no
thesashleyfan,henrich #actuallyautistic,"13, american, neurodivergent","musician he/him
likes @sxshely and furries so leave if you don't
blm
pfp by @EmKayle
born may 8th 
Language/worldbuiding nerd
str8/?/pan need furry",yes,no,no,no,no,no
nin0quincampoix,lokki,,nonbinary butch lesbian (they/them),no,no,yes,no,no,no
aidens_cove,i do be hating it here,,"aiden • he/it • I’m mainly on instagram (@/aidens.cove) • 20 yo, blasian 🇬🇩🇯🇵🇮🇳 • non-binary ✊🏽✊🏾✊🏿 pfp by @simpleteeths",yes,no,no,yes,no,no
uchihaphobe,80% That Bitch,,Jess || 29 || She/Her They/Them || Lethal Levels of Stupid ||  I Don't Know How To Use This Thing,no,yes,yes,no,no,no
minsungsoftie,pí 🌑 | ynkk + nj zine,ENG/한국어,pieter | they/he | 21 | one half of an eclipse @spideysguk | gay;ace | synesthesia writer | NO MINORS,yes,no,yes,no,no,no
