screen_name,name,location,bio,he/him,she/her,they/them,it/its,xe/xem,ze/zir
duduonthedaily,femme gintsa,At home mntkbw,"SEO and Content Specialist

(them/they)",no,no,yes,no,no,no
Lushtakular,lushtak,midland,they/them | this fat-titted twink is my boyfriend @hyperlynx_art go buy his art,no,no,yes,no,no,no
IAmToddWarr,Auntie Todd,,Your fave Afro-Arab Auntie. They/Them; Skincare/Makeup IG:@iamtoddwarr ♑️ 🔮 iamtoddwarr@gmail.com,no,no,yes,no,no,no
anupriori,noosh,she/they,"power to the people. funny, cute, and decolonizing public health at harvard & @hpatresearch",no,yes,yes,no,no,no
LetsKaiKai,La Señora Pepper,"Berkeley, CA",honestly over it,no,no,no,yes,no,no
verycoolnsexy,Casper/Brooklyn,Narrm/Melbourne,criminal queer - they/them 25♒️♌️♒️,no,no,yes,no,no,no
namjoonslimbs,droplet⁷ NSFR PLS🇳🇬 /dilfs/hisoka hate page,"tokyo, seoul, mono",namjin. moonchild. intellectual. sorry bae. nsfw//minor ♡he/she/rain/dream/drop♡ // nb // bi(?),yes,yes,no,no,no,no
Juanarama_,Brown Town?™,Bed,"The tragic tales of King Queer, now in 4K!
He/him. INFP-T if you feelin' nasty.",yes,no,no,no,no,no
gutsndcake,SALEM 🩸🔪1312,they/them / 17!,"🥀🥩 mixed • enby • cw: AoT, Tokyo Ghoul, OMORI • LOZ fans dnf ❤️ @ErinaTheDummy ❤️",no,no,yes,no,no,no
DeathmatchJay,they/jay dmdu,"Melbourne, Australia","THEY/THEM. @DMDownunder co-owner. feminist. photographer. friend to cats, dogs, and MAYBE you. married to @teerwayde. #BLM #TransLivesMatter #TheRisingTide",no,no,yes,no,no,no
minibattlehero,Dyl ❤️🖤,,"I stan Sheith and EndHawks for life ~ Dont follow if under 18 (they/them, queer) Zarkon is bae",no,no,yes,no,no,no
quinn4k,born in abyss,22 and poly,i have a bf they/them 18+,no,no,yes,no,no,no
sainthalsey,san,(they/them) | 19,you can be kind - @grumpygirlsclub,no,no,yes,no,no,no
namuflex,nini,they xe ♥︎ Carrd byf!!,Other fandoms can sob while armys may only sniffle,no,no,yes,no,yes,no
wardoise,word,twitter,girls who stick together are pretty girls (he/him),yes,no,no,no,no,no
cabrera_nate,Nate Cabrera,,"Just a young man trying to enjoy life. I go to Susquehanna University, and I love it. I love hanging out, but I’ll play video games if I have to stay inside.",no,no,no,yes,no,no
LOWKEYBlSEXUAL,rylee👾,they/she do not use just she,"•stream numb by waterparks today• •bIm• •ACAB• minor, white, bi, gnc woman",no,yes,yes,no,no,no
dreamb0y_,rey / dizzy ↯ jupiter's #1 fan 🤠🇺🇸🍻,oh i wish that i could candy-coat your problems if they’re bitter and they’re awful,࿐ he ! ot ¡ they ! it ˚. 15 .˚ ottos bff (REAL!!),yes,no,yes,yes,no,no
AugustHedonism,"Augustine, Former Saint & Relapsed Hedonist",Gettin' HYPE!,"I got tired of celibacy so they kicked me out of heaven and revoked my Sainthood.

I'm here to support SWers.

SWers: follow me for random plugs.

$89 UB",no,no,yes,no,no,no
ieatassforhours,Dr. Umar Apprentice (Mommy arc),,23 They/Them Pan 18+,no,no,yes,no,no,no
MonkeyDBas,🌙 MIYA DAY,they / them + neos ,☪︎ | 17 | desi | basim + any nickname | req ok when priv,no,no,yes,no,no,no
crispychilton,fe, they/he/ve 21 bIm,but do you ache for him?,yes,no,yes,no,no,no
OHANATOLY,sonny (no1 rion stan),he/they | 23 | sonny,he feels so safe with Barba | sorry Warren (dm me Warren) | Freddie Trumper apologist | barisi stan | Peter Scanavino | raúl esparza,yes,no,yes,no,no,no
chasrafa,chas rafael,"he/they, 24",someone.,yes,no,yes,no,no,no
dabibunnie,mars ♡ throuple arc,lesbians in love with dabi,dabi love bot ♡ 19 ♡ they/them ♡ dnfi -17,no,no,yes,no,no,no
