screen_name,name,location,bio,tweet,he/him,she/her,they/them,it/its,xe/xem,ze/zir
succubeanie,°:* zooted eggi em |semi hiatus 🥚 ･ﾟ:,Your mind • Tip me💖,"☆22 ✨ pan • thembo • succubus✨ they/them  ♡  $5 OF🎥                 🔪switch • $10 dm fee • shitposter • 18+ ONLY  • MINORS DNI 🕸
 💸Cashapp/Venmo: $dragobbi","Mad thembo energy ,, I keep forgetting all of my toys are dead",no,no,yes,no,no,no
get_sewned,Get Sewned 🧵,"Greensboro, NC",Andy✨embroidery artist✨23✨ she//they 🌙 upcycle enthusiast & mental health advocate ♻️🐌 #blacklivesmatter,RT @get_sewned: Just a big ole thembo 🍓🌸🌿 https://t.co/2i8Ncc0qBe,no,yes,yes,no,no,no
thembo_clown,bunny,"Nebraska, USA",nic • 21 • they/them • libra☼ scorpio☽ leo↑,my ex-therapist and i both have middle parts now. growth :),no,no,yes,no,no,no
enbydykeplug,👼🏾,"ny, they/them/baby",Angel 17 Filmmaker #blacklivesmatter ⚢ ig: ivycolored,i’m the worlds first ethical hey mamas thembo lesbian,no,no,yes,no,no,no
Urthembo_jf,₊˚ -ClitMasterSupreme Clit Buttowski- ˚₊,They/Them,₊˚ -i be that pretty mf- ˚₊ read carrd byf,i need a new cooler thembo@ ion like dis,no,no,yes,no,no,no
enbydykeplug,👼🏾,"ny, they/them/baby",Angel 17 Filmmaker #blacklivesmatter ⚢ ig: ivycolored,Does anyone want a thembo jm selling myself i’m broke fr,no,no,yes,no,no,no
CVRLOMUSTDIE,カロ殿,Caught Somewhere In Time,P.O.N.Y 🇮🇹 🎸,@hydrated_thembo Good tweet,no,no,no,no,no,no
stonernatural,i made out with patience at dean and cas’ wedding,they/them,gay clowning. thats it. i am embarassed- also im autistic please dont be mean 2 me,@CasIsLoved a lesbian and a thembo............ a best friendship like no other,no,no,yes,yes,no,no
ellies_a_thembo,everythings coming up roses,"Severn, MD",they/them // 20 // utk ‘22 🍊,RT @cheygraciela: Could really use some ketamine rn,no,no,yes,no,no,no
ellies_a_thembo,everythings coming up roses,"Severn, MD",they/them // 20 // utk ‘22 🍊,RT @AutumnVaught: counting crying in the shower as self care,no,no,yes,no,no,no
