screen_name,name,location,bio,tweet,he/him,she/her,they/them,it/its,xe/xem,ze/zir
CuteAngelFood,Rune?,Heaven on earth!,Cute angel noises! Wife of @MawOfDemacia and @trevornefari | Eternal Angelic lover of @Vampiric_pride,"@SpaceBimboAran — the bimbo’s quaking pussy though, Rune didn’t really require all that much air~!",no,no,no,no,no,no
dkenair,Dkenair,,,@lyss_89xoxo @KingShark57 @BlazioDa @cushi2000 @SOTIEARRA @richthoughtsss @ButDid_YouDie @TriniHotep We have alread… https://t.co/kJvjFNi0sD,no,no,no,no,no,no
blaquemariquita,⭐Sasha Alex💧,18 💖 She/Her 💁🏾‍♀️,"Black female Illustrator & Graphic Designer. Rt heavy. Hisoillu stan. ENGL/ESP. some adult themes, below 15 y/o dni, proshippers dni ❗I tweet about hxh alot❗",My OC art gets 1 like but sexualizing Hisoka as a bimbo gets 200+ likes... hmm interesting,no,yes,no,no,no,no
chaerkity,veedison,17+16 she + s/t carrd byf,nene yashiro fan. lesbian. omnipotent god. and madison,yanfei almost the bimbo i was waiting for,no,yes,no,no,no,no
MystiqKin,❣Lady❣Mystiq❣ OneSideDimpled❣,🇳🇬,"Low-key multi-task Queen Mother, Out of the box thinker, Economist, Creativity lover, Grandmum to 16 Adorables 😎 Jah's very own. Angie's Mix🌿",@bimbo_cash @Itz__demola A tenant is entitled to 6 months notice. The landlord seem to be a bully🙁,no,no,no,no,no,no
karmaASSada,Little Crow 🚬,,"Simp Nation 
🦋",Like imagine essentially emotionally cheating and then fucking BOTH parties over for one bimbo like i can't even,no,no,no,no,no,no
PrinceKhemu,Prιncє Khєmu,"Thebes, Egypt",I’m the son of Anubis & Princess Diana of Themyscira I’m the god of War and the god of Chaos. #FakeAccount #ParodyAccount #BloodofZeusRp,"RT @bimbocumella: Cumella
-------------
Bisexual 
Bimbo
Loves being degraded 
DTF
Cumslut 
No limits 
All kinks welcome 
Cock Addict - all…",no,no,no,no,no,no
tatianaajazminn,Teej🌺,Am I Being Detained?,unfortunately average🥸 CPhT💊 libertarian🦔 satanist🤸🏼‍♀️ #2A is for everyone. 💖💜💙,Just got called a bimbo by a fascist. 😂 https://t.co/bvgsE4d4Ie,no,no,no,no,no,no
HoennChxmp,𝐒𝐭𝐨𝐧𝐞 『 ♀』,𝐇𝐨𝐞𝐧𝐧 𝐑𝐞𝐠𝐢𝐨𝐧.,⠀⠀ ⠀⠀ 𝙒𝙝𝙖𝙩 𝙝𝙖𝙨 𝙖𝙬𝙖𝙠𝙚𝙣𝙚𝙙 𝙞𝙣 𝙮𝙤𝙪? 𝙎𝙝𝙤𝙬 𝙢𝙚! @ChampOfTheWomb'𝒔 𝒄𝒉𝒂𝒎𝒑𝒊𝒐𝒏.,"Little did you all knew, that someone has already seen bimbo Stephanie.

That someone knows who they are!",no,no,no,no,no,no
manicpxie_bimbo,faye 🦝,,y’all got any braincells to spare?? | she/they | 23,RT @assbabydotcom: I MISS JENNA MARBLES OK!!!! I MISS HER,no,yes,yes,no,no,no
Matthew57375994,Aussie Breeder 🇦🇺,Brisbane Australia,26 Male Gamer / Master of Screwing Up / Aspiring Dom / +18 Minors DNI /,@xo_bimbo_xo It's okay hun. 😌,no,no,no,no,no,no
bimbo_bap,i am not a god damn gemini,"Neuchâtel, Suisse",she/they | soci/anth student | performance artist | DMS THROUGH OF ONLY | 18+ | IG: @real.kaya.koko,i’ve added journalism students to the list of students i do not fuck with,no,yes,yes,no,no,no
TheResisterPost,Rob Onorato #FBR - NoDM-only If I tweet ok.,"Seattle, WA- Capitol Hill Hood","ResisterProvocateur and Antifa: Supporter of BLM,LGBTQ,&Hispanic-community, and the outsider, Jesuit educated SocialJusticeWarrior https://t.co/5zUu3fZGe0","RT @Andi_Poli2: Oh you mean she actually IS nothing more than a bimbo dumb hooker who married for a green card, isn’t a genius, didn’t go t…",no,no,no,no,no,no
DEVCTEDHEART,FLOCH FORSTER.,Mun is 19.,Devote your hearts!,"@TH3CARTT1TAN ""Bimbo.""

How long is this going to go on for--",no,no,no,no,no,no
xo_bimbo_xo,✨$4.99 OF✨,USA,18+ only || 21 || backup: xox_bimbo_xox,@Matthew57375994 Oops. My mistake 😱,no,no,no,no,no,no
Danielaa_0018,Daniela Oliveira,,,"@mutirao_louies bimbo
I vote #Louies for #BestFanArmy at the #iHeartAwards",no,no,no,no,no,no
TsunderePosting,Aubrey,Dr. Robotnik’s Mean Bean Machine,"Never forget, Zero Cool crashed 1507 servers in a single day. (She/her)🔞 plz no porn🏳️‍⚧️","this is not only not true, its libel. im a far bigger bimbo than april https://t.co/GeaBgiZws1",no,yes,no,no,no,no
Johnnyclete1,Johnnyclete,"Minneapolis, MN","fun loving, outdoor loving guy",@bimbo_pink Sheer is a delicious tease🔥,no,no,no,no,no,no
Matthew57375994,Aussie Breeder 🇦🇺,Brisbane Australia,26 Male Gamer / Master of Screwing Up / Aspiring Dom / +18 Minors DNI /,@xo_bimbo_xo You forgot to add cute.,no,no,no,no,no,no
raisin_kiss,𝒹𝑜𝓌𝓃 𝓁𝒾𝓀𝑒 𝓉𝒽𝑒 𝑒𝒸𝑜𝓃𝑜𝓂𝓎,"Atlanta, GA","from each according to their ability, to each according to their needs -xoxo, gossip girl",RT @tourmaliiine: Hot bimbo summer https://t.co/RXWQdgEZrX,no,no,no,no,no,no
marveloustib,Duquesa Tibério,RJ,Hi! I'm the 99 people in the room who don't believe in you ✨,Martinique calling Regan an stupid bimbo was an cultural reset https://t.co/8HY7HSJ8Kv,no,no,no,no,no,no
trozodealgo,sebastián,entre la izquierda y el centro,"acab | pensando a ratos, no esperen mucho de mí","Fuck bimbo 
All my homies support Panaderias Tradicionales",no,no,no,no,no,no
Bimbo_Swagg,Bimbs 👨🏽‍🏫,Cali Living☀209 y LaCapital🏙 ,Sac State 🐝 //👻: bimboo //Michoacano hasta el tope! 🇲🇽,RT @Trent_Hadler: @DragonflyJonez this was so fire i had to save it https://t.co/lVaw61V4fY,no,no,no,no,no,no
leechwaifu,draculaura palmer📕,pottsfield,she/her🌸 mad goth poetry girl🩸you can find even more of me on onlyfans/cucksouls ♏️♍️♍️ baby when it's love if it's not rough it isn't fun🫀🦷,@Patricipacion and i'm a bimbo,no,yes,no,yes,no,no
TachibanaMina,Tachibana Mina | EN | VTuber,your Mom's house.,Call me Tachi! :D | 20 years old |5'11'/180 | Debut: TBA. | Indie | Art #tachillust | @Yojo_matsuri ship #tachiyojo | Live #tachibakalive | Fans tag #tachiclan,@FrozenTsar I'M SORRY I'M A DENSE BIMBO,no,no,no,no,no,no
QuietTime_xoxo,QuietTime,,Kinky switch guy who wants to become a brainless bimbo gagslut!,"RT @ZalderSM: You guys like hypno? Lemme try!

Shh. Embrace that big, fat gag. Your mouth is totally stuffed. You love that soft, tight fee…",no,no,no,no,no,no
bunnielesbian,tallest lesbian alive ♡,she/her,"jasmine ♡ | mean lesbian, resident bimbo, 6'5 mommy gf & off-tank for vulpine vixen 💖 | priv: @surelynottoday | DM for nsfw acc ♡ | #winnable",@Travis_THFC NO IM JUST A BIMBO IM SORRY,no,yes,no,no,no,no
Icy_Princess1,Fjorm and Laegjarn,Kingdom of Nifl,"Princess of the Kingdom of Nifl, and the Princess of Muspell. Bi. If I follow back I’m interested in an RP. (N)Sfw account Will not be on between 7am-3Pm CDT","((Yo, the sun and moon protagonists in Pokémon Masters have bimbo and himbo energy respectively",no,no,no,no,no,no
legacy_torr,ℂ𝕠𝕠𝕝 𝕜𝕚𝕕,@muf_FiNn11’s house,a kid who draws sometimes - he/him - BLM @/torrart.legacy on Instagram,@_purphead_ I love you baby boo sweet cheeks munchkin bimbo himbo simpy wimpy baby booby poopy poo,yes,no,no,no,no,no
CubeApril,April King,"Pig’s Eye, MN",Irreverent and Cube-loving Rakdos. Created during a @maro254 doubling experiment. Chief Hamster Wheel Operator at @scryfall. NSFW stuff at @LewdApril. She/her.,@bigblue32123 @TsunderePosting I’m both smarter and a bigger bimbo than @TsunderePosting.,no,yes,no,no,no,no
aeighphey,Chocolate High_🦋,somewhere on the continent,I am because He is•My heart bleeds blue💙✨•Holy Honey in transit...W.L.A.Q....+233,Bimbo's live is killing me,yes,no,no,no,no,no
bimbo____summit,Scott,liberal arts college dropout,♉️♋️♈️ (hehim),he could always GET IT https://t.co/D9ifkle8Fg,no,no,no,no,no,no
