screen_name,name,location,bio,tweet,he/him,she/her,they/them,it/its,xe/xem,ze/zir
CommeDesHazons,the bates motel 🏨,"London, England","Please rise for our lords & saviours; Kelly Clarkson, Rina Sawayama & Jonathan Jacobo // he/him 🏳️‍🌈🤎🖤🏳️‍⚧️ // Insta: MrHBatesy",@MJSundi Proud of you theybie ❤️,yes,no,no,no,no,no
charlottexsmtms,ACAB /\^ •ᴥ• ^/\ WITCH,Hell,non-binary queerdo 🖤enchantress of transmuting trauma💙 healing is hot 💜 you are magick✨,They r making holiday name tags for work w our pronouns n I have been once again reminded I’m the only theybie in my entire store,no,no,no,no,no,no
dyuerscoloures,generic serf (doomer),bi,🔞 late 20s rad-adjacent so-called independent thinker/picrew spammer ♀️🏳️‍🌈💙💜👭 under 18 don't follow,(unfortunately some do apply it to their personal life w the theybie shit),no,no,no,no,no,no
SammyMaudlin,"(ft'in"" wt IQ) Sammy Maudlin (W-L GB) (vax status)",Gone back to Annandale,Just 🐒ing around,".@Transanimals3 

What's stopping you from having your own throuple and theybie? https://t.co/jCjmFVzz90",no,no,no,no,no,no
reshirii,✨3000 SWARMING INSECTS✨,i: gloomwolf h: relevancy,🔞 ✨ moth/24/any prns ✨ 🔞 💖🌻 12/19 my radiant sun @kyubitomaki ☀️💖,two theybie babies https://t.co/jDGjAaxYBo,no,no,no,no,no,no
e_uniquee,benny✨,here,they . 7 1 7 .,lil theybie 🔒❤️,no,no,yes,no,no,no
devdoee,justin bobby,"Brooklyn, NY",enby in nyc (they/them),Theybie gworl 💕 https://t.co/1WG13Pq3wl,no,no,yes,no,no,no
TalonWyclyf,Talon Wyclyf,"Wisconsin, USA","🔞18+, she/they, ordained Luciferian priestess, artist, switch, poly, lesbian
.
https://t.co/xHSFCoUGi3
.
https://t.co/BXyct46Mu9",@ZOE_SEQ You are always so fuckin hot theybie! 😆💖,no,yes,yes,no,no,no
rachelandco,THEY/THEM: diana flo$$ 🦀,somewhere,your fave theybie thot. THEY/them/their$,"i keep seeing flowers on my timeline and i love it. yes, getcho girl/boy/theybie some flowers! do that cute axx shxt.",no,no,yes,no,no,no
TalonWyclyf,Talon Wyclyf,"Wisconsin, USA","🔞18+, she/they, ordained Luciferian priestess, artist, switch, poly, lesbian
.
https://t.co/xHSFCoUGi3
.
https://t.co/BXyct46Mu9","@ericonthetweets @heyyguido @angel_0f_deathx Oooo, forgot they spelled it theybie which I feel is cuter ^-^",no,yes,yes,no,no,no
law_ger,Mint Man,City Hall Steps,Saving the world one tweet at a time. Not a victim. Achievement matters.,"@OneYearWorld So insensitive.  It is now “theybie,” and “thummy.”",no,no,no,no,no,no
angel_0f_deathx,death angel,,"“pied piper of ass” / slut extrawhoredinaire, top 0.9% / hot enby icon (they/them)","@BoldBebo good lord, theybie 🥵🔥",no,no,yes,no,no,no
PanicMixi,Rosemary's Enby,"Boston, MA","sexy trash panda, mean queer, ND as fuck and will call you tf out on your ableism. 

call me Cricket. If you're gonna DM me, BE COOL. they/them.","@thatcardsharp Solidarity,theybie💓",no,no,yes,no,no,no
244momo9807,💗💜💙 Winn 💜🤍💚,"Bohemia, NY","💗💜💙 Bisexual as fuck 💜🤍💚 Genderqueer as fuck 🏳️‍🌈
Here to argue over stupid shit on the internet so I can feel like I accomplished something today 🦋 ✝️",@GS_Maxxx I like theybie and thembo personally,no,no,no,no,no,no
ethniccrybaby,ari (they/them) 🍄🌸🐼,,crybaby mixed theybie. sagittarius 🌞 aquarius 🌙 sagittarius ⬆️ CODA. they/them #BLM,i have stomach issues like a mf am i bad bitch/theybie now????,no,no,yes,no,no,no
DarkLiterata,"Stacy, Librarian-in-Residence",she/they,"i read slowly & often. queer black librarian. anti-oppression educator. youth lit scholar & reviewer. 
#critlib | #kidlit | #spectrumscholar | #trekkie🖖🏾",@shgmclicious I may take out the knees of the next person that learn's that Reid is a theybie and immediately asks… https://t.co/LySM1ejsVQ,no,yes,yes,no,no,no
angel_0f_deathx,death angel,,"“pied piper of ass” / slut extrawhoredinaire, top 0.9% / hot enby icon (they/them)",@lateniteohje @FourTheGamers get him theybie,no,no,yes,no,no,no
UrbanProle,(אמת) ❤ Emet 🖤,"Portland, OR","An over 40 trans queer Jewish bisexual in a patch jacket near a dog. Co-Owner, 
@NerdyKeppie. Artist, activist, comedian. (They/Them) (Iel/Yel)","@GwenHIGHtowr @chadloder I just want you to know, since I noticed ur also GF? I offered to sponsor his corner with… https://t.co/e6pyzytNN3",no,no,yes,no,no,no
SheFaerer,Ghoul Trouble 💜🤍💚 #ReclaimTheFlag,"Greater L.A., CA., USA",she//faer Autigender nonbinary trans woman with ADHD. Autodidact. ¡Viva las Zapatistas! and Guerrilla Girls everywhere. Death to the patriarchy and capitalism.,"@angel_0f_deathx Sings:
“Theybie luv 
My theybie luv
I need you—o how I need you”",no,yes,no,no,no,no
EposSatyr,Creepos,coffee time,Tryhard,@cooljeanius @neontaster That might imply biological relation to the child. What if the partner came around after t… https://t.co/nsbBcGHGyO,no,no,no,no,no,no
bussycharmz,bald man in a green poncho,washington state ,mmmmmm borger......she/they you fucks!,the last two weeks have been such a “am i a fucking boy or am i just a theybie” i hate this debate,no,yes,yes,no,no,no
crab_rare,Just Crab,,PFP BY @snibsnobs,@rentoraars YEAH THEYBIE YEAH,no,no,no,no,no,no
valkyrie_kisss,Valkyrie,Toronto ON,"Chubby Canadian Disney Princess, feminist, leftist. CSA, and DV survivor, exvangelical.  She/her #MMIW #WeWereChildren",@NansomeDrawing You got this theybie 💜💜💜,no,yes,no,no,no,no
