screen_name,name,location,bio,tweet,he/him,she/her,they/them,it/its,xe/xem,ze/zir,ze/zem
autistic_bimbo,Autistic Bimbo,"Portland, OR",Anarchist witch trying to get to live in closer connection to land and dear ones while also fighting for all of us to have more beauty and joy.,@chupqueen I want in on this!,no,no,no,no,no,no,
botchedutopia,goons,"Montréal, Québec",wizard of loneliness                                        she/they,@aspiring_bimbo bitchhhhh,no,yes,yes,no,no,no,
Bimbo_Swagg,Bimbs 👨🏽‍🏫,Cali Living☀209 y LaCapital🏙 ,Sac State 🐝 //👻: bimboo //Michoacano hasta el tope! 🇲🇽,"It’s a..... little boy 🤣😂🤣😂🤣 
#IYKYK https://t.co/Iv1g16jd3e",no,no,no,no,no,no,
bimbo_cult,🍅,chi/okc,,@WhetSock @yrbrainonme what’s her @,no,no,no,no,no,no,
Earthling42069,🤍D🤍,Low-Cal Calzone Zone,"i might be covered in cat hair, but i still smell good",@SheriffErinFogg LMFAO outed myself as a real bimbo here didn’t I 😭,no,no,no,no,no,no,
bimbo_cult,🍅,chi/okc,,@anne_dekaufmann @milledAKpops i’m scared 2 post about it tho cause we always play with her when she comes thru 👀 lol,no,no,no,no,no,no,
bimbo_cult,🍅,chi/okc,,@anne_dekaufmann @milledAKpops *lice b*g wrote this cool essay talking ALL this shit on riot girl/kathleen hanna an… https://t.co/rKv7MhoHPO,no,no,no,no,no,no,
glamorousgigi__,Scientist Bae🧬,50404,1908 | RIH Ty💕| Ga Peach w. a southern twist 🍑 Pre-Med | Mental Health Advocate 🧠 | Views are MY own. #BLACKandSTEM #BLACKLIVESMATTER,Why do I have to be smart? Why can’t I just be a bimbo? Or an NFL Wife?,no,no,no,no,no,no,
chuuyaesque,grey,professional bimbo,🔞. 21. he/him. nsfw/dark content. bsd - genshin - jjk. writer. inazuma waiting room,RT @beastranpo: mahito isnt a fucking bimbo for no reason he's there to be FUCKED,yes,no,no,no,no,no,
koloboof,Soojin Innocent,,,I'll fight that broward county bimbo 😭,no,no,no,no,no,no,
RockyRaccoonUwU,Rocky racoon(nsfw)🔞,"Cleveland, OH","22m Tactical racc, soda and coffee required
https://t.co/juBmmbuK5x check me out !",@Smuttysquid Oh i love this big bimbo racc &gt;;3,no,no,no,no,no,no,
propxnqityyx,Miko☆,,"19
.
She/her",RT @valentitans: Beach bimbo!Eren not so subtly hitting on Lifeguard!Levi #ereri #rivaere https://t.co/xUAu5ksSvV,no,yes,no,no,no,no,
sinnabunkoo,lian ♠️,,nsfr * nsfw/sometimes extreme! (minors dni pls). b*s/official accts. are blocked. bttmk**/k00chie enthusiast!! enby k00 babyy c: | they/them | 20. |,"RT @blossomggvk: 🔞 currently thinking of blond bimbo köo going to his nâmjöon hyungie’s house for his math and english tutoring, his hyung…",no,no,yes,no,no,no,
space_bimbo,Space Bimbo,"Edmonton, Alberta","I’m a writer and a nerd. I love comics, books, movies, and whatever else turns me on :P :) DMs are open ;)

https://t.co/sg6bgdEyuT

NSFW page 18+",RT @glacier_clear: missing princess https://t.co/CB3QcWqqQx,no,no,no,no,no,no,
dontliftitpls,𝙍𝙖𝙚.,DMs: 0/10,𝗔𝘇𝗮𝗿𝗮𝘁𝗵 𝗠𝗲𝘁𝗿𝗶𝗼𝗻 𝗭𝗶𝗻𝘁𝗵𝗼𝘀!,"Yeah, yeah. The Caster won't be bested by some bimbo built Genie! Raven huffed before removing her pants, letting h… https://t.co/sQrEJ6phsU",no,no,no,no,no,no,
slime____bimbo,oozy wound,trash star,head of #finance,sippin menthol,no,no,no,no,no,no,
Faunri,𝕵𝖆𝖓𝖊,"Wisconsin, USA","jane ◦ 27 ◦ she/they ◦ INFJ | art, photo, poetry, dance, cosplay, macabre, nature, & history | Mainly Golden Kamuy! | personal: @sugimmoral | icon: @nervziel",@sybilich I’ve never looked into the actual doujin but i just cant handle “make buff man into skinny girl with big… https://t.co/F0t6vltnHb,no,yes,yes,no,no,no,
HaremOfHimbos,Himbo Harem,,A collection of himbos that are here to please~,"@GIRLIXSTBXTCHER Yea. They seem like a good character to use.

A bimbo harem does sound like a fun idea as well but… https://t.co/txd843ntUf",no,no,no,no,no,no,
