screen_name,name,location,bio,tweet,he/him,she/her,they/them,it/its,xe/xem,ze/zir
princenbalex,blake zor el/grant/robbie/jessie👽,white | minor | pt/eng,"#LENA: sorry did you want to do that?
(o/ele/-o) (he/him) hard of hearing, deficiente auditivo | multifandom",RT @Iorestream: - stop with the m’theydie and gentlethems jokes please.,yes,no,no,no,no,no
moonmadecade,cade 💖,"New York, USA",gay trans eclectic witch (he/him). pagan & spiritual. mentally ill. engaged to @cosmicdidact // spiritual acct: @b0yw1tch // nsfw: @lithpyboy,My beautiful theydie @phnx____ ❤️ wishing you were here @stari_skyy @ArtIsAmor @CosmicDidact https://t.co/YeHtDQ3EQA,yes,no,no,no,no,no
lilskybaby99,kai,in ur dreams 💭,they/she 🌈 msftsrep • 🌱 vegan bby,RT @Iorestream: - stop with the m’theydie and gentlethems jokes please.,no,yes,yes,no,no,no
transCommieSlut,Moss🍋 (they/them),,Fuck your cop uncle✨ACAB💕BLM💛,RT @Iorestream: - stop with the m’theydie and gentlethems jokes please.,no,no,no,no,no,no
wxnderlandjun,𖧵 yeonjun’s bf (REAL) ✜,20190601 | 18,"#YOONGI: fuck school, be gay, do crime | HE/THEY + PLUTO/PLUTOS | fan account",RT @Iorestream: - stop with the m’theydie and gentlethems jokes please.,yes,no,yes,no,no,no
meredithdavis01,meredith 💛🤍💜🖤,"19, they/she",just a queer person tryna survive ✨💖,RT @Iorestream: - stop with the m’theydie and gentlethems jokes please.,no,yes,yes,no,no,no
nozyeveryday,bek📓🌿,the ohio state university🌹,🔸she/her🔸we accept the love we think we deserve 🌞♊️🌛♉️↗️♍️,RT @Iorestream: - stop with the m’theydie and gentlethems jokes please.,no,yes,no,no,no,no
enbyinspace_,WEAR A MASK ✨💗,the moon,hi do you pog? | they/them |,RT @Iorestream: - stop with the m’theydie and gentlethems jokes please.,no,no,yes,no,no,no
Penguicorn,Penguicorn !Please help my best friend!,,no talking about christianity or body's age unless specified otherwise. open to more partners. pronouns in pinned. white with native american blood.🌈(no meanin,RT @Iorestream: - stop with the m’theydie and gentlethems jokes please.,no,no,no,no,no,no
iHugChase,river/noah,read my carrd byf! ૮⍝• ᴥ •⍝ა  ,"✧ 18
✧ nblm
✧ they/he/she
✧ genderfluid + polyamorous
✧ @iHugRiver & @Osmock1 are my awesome boyfriends (๑￫ܫ￩) 🤍",RT @Iorestream: - stop with the m’theydie and gentlethems jokes please.,yes,yes,yes,no,no,no
hitoshishins,jazzy 🍄✨,"San Bruno, CA",black lives matter ✊🏽✊🏾✊🏿 they/them pronouns ✨,RT @Iorestream: - stop with the m’theydie and gentlethems jokes please.,no,no,yes,no,no,no
