screen_name,name,location,bio,tweet,he/him,she/her,they/them,it/its,xe/xem,ze/zir
MagnoliaAHG,CitizenAme,"Wisconsin, USA","Christian, patriot, wife & mom, wordnerd.","RT @MrAndyNgo: Crystal Monique Miranda, 29 was charged w/a felony over her role in the Portland #antifa riot. She's the partner of transwom…",,,,,,
cosmics0lara,💔ⓒⓞⓢⓜⓘⓒ💔,any prns ,@999figures @vlliyah @vloneuzix @ihygio @ritokeef @simonevuitton,RT @genderlessf4iry: Hi guys! I'm a black nonbinary transwoman living in a toxic and violent environment. I need help funding so I can move…,,,,,,
coochiella2003,ً,,,RT @genderlessf4iry: Hi guys! I'm a black nonbinary transwoman living in a toxic and violent environment. I need help funding so I can move…,,,,,,
yclaude,Yves Claudé yclaude,Montréal (Québec Libre),"Yves Claudé (ycsocio[@]https://t.co/OymGJVI4sT)  TW personnel (arts, politique, etc.) indépendant de mes activités professionnelles /  NB : RT ≠ approbation","RT @MrAndyNgo: Crystal Monique Miranda, 29 was charged w/a felony over her role in the Portland #antifa riot. She's the partner of transwom…",,,,,,
Al_Nimer,Tony J,"DFW, Texas","Pro-Life Christian, #2A #Reagan Conservatarian, Mid-East drummer, amateur photographer, Sci-Fi Fan, Steampunker. Follow back as Twitter allows. #tcot ΜΟΛΩΝ ΛΑΒΕ","RT @MrAndyNgo: Crystal Monique Miranda, 29 was charged w/a felony over her role in the Portland #antifa riot. She's the partner of transwom…",,,,,,
Saraaa49013862,Saraaa,,,@GinToniicc Yea dom is not transwoman or homophobic and ppl that say that he is are just fucking stupid,,,,,,
dripothy,≈,he/him 🇨🇦,"idk, i don’t use twitter.","I know not every transwoman decides or wants to do this, but good lord, props to those that do the facial feminizat… https://t.co/DqngRKfa7y",,,,,,
WWFerguson2,Will Ferguson,"Great Lakes, Great State",#AccountabilityCulture is on the move.,Judging by the not-insigificant amount of CA conservatives who are saying they won't vote for conservative Caitlyn… https://t.co/4ZO5tyNUD3,,,,,,
szaswhxre,𝕯𝖎𝖔𝖓𝖊 ♡ (szaivy),she/her | 18+ | ミ☆,lesbians get behind me!!,RT @genderlessf4iry: Hi guys! I'm a black nonbinary transwoman living in a toxic and violent environment. I need help funding so I can move…,,,,,,
nomiseline,𝖓𝖔𝖒𝖎,another dimension ,• she/her • womanist • 👩🏽‍🏫 • 🇧🇸🇭🇳,RT @genderlessf4iry: Hi guys! I'm a black nonbinary transwoman living in a toxic and violent environment. I need help funding so I can move…,,,,,,
lori_clydesdale,Lori Clydesdale,"California, USA",Trump 2020🇺🇸🇺🇸MAGA🇺🇸,"RT @MrAndyNgo: Crystal Monique Miranda, 29 was charged w/a felony over her role in the Portland #antifa riot. She's the partner of transwom…",,,,,,
IntoObscurity,オリビエ • la petite fresh prince 🌙 ⚧ 🌈,"Xʷməθkwəy̓əm, KKKanada",Olivier-Eyambier🇭🇹 he/they - il/iel. 28♐ nonbinary trans femme boi. ENG JPN FRN. sci-fi & jrpg’s! mental health & addictions worker. i drink cracker tears 🖤,RT @genderlessf4iry: Hi guys! I'm a black nonbinary transwoman living in a toxic and violent environment. I need help funding so I can move…,,,,,,
rubic3n,rubic3n,Moon,It ain’t what you don’t know that gets you into trouble. It’s what you know for sure that just ain’t so. TheBigShort,"RT @MrAndyNgo: Crystal Monique Miranda, 29 was charged w/a felony over her role in the Portland #antifa riot. She's the partner of transwom…",,,,,,
cjosheff,Chris,,🇺🇸 Find me on Parler: Cjosheff3 🇺🇸,"RT @MrAndyNgo: Crystal Monique Miranda, 29 was charged w/a felony over her role in the Portland #antifa riot. She's the partner of transwom…",,,,,,
DanielleNorgedm,Danielle,Tampa Bay,,"RT @MrAndyNgo: Crystal Monique Miranda, 29 was charged w/a felony over her role in the Portland #antifa riot. She's the partner of transwom…",,,,,,
troballis,tamtam,,Just me 🇺🇸 #UnitedWeStand #MAGA,"RT @MrAndyNgo: Crystal Monique Miranda, 29 was charged w/a felony over her role in the Portland #antifa riot. She's the partner of transwom…",,,,,,
oscar232328,Oscar23,,,"RT @Slatzism: Allison is actually the *second* believe it or not.

Another prominent transwoman who designed a similar app to track and mar…",,,,,,
scared0fme,ً,"he/him, 18.",⠀⠀ ⠀⠀⠀ ⠀ ⠀⠀ ⠀⠀⠀ ⠀ ⠀⠀⠀⠀⠀ ⠀⠀ ⠀ ⠀⠀⠀ ⠀⠀⠀ ⠀ ⠀⠀dude named dean or kaizer⠀ ⠀⠀⠀ ⠀ ⠀⠀⠀ ⠀ ⠀⠀ ⠀⠀⠀⠀ ⠀⠀ ⠀⠀ ⠀⠀ ⠀⠀⠀ ⠀⠀⠀ ⠀⠀ ⠀⠀⠀ ⠀⠀,RT @genderlessf4iry: Hi guys! I'm a black nonbinary transwoman living in a toxic and violent environment. I need help funding so I can move…,,,,,,
King_Mugsy,Mansa Musa of Mali 🖤✨👑☀️,"Washington, DC",SON of the SUN 🌞🤴🏾🇪🇬🔺💥💫,@Kollinbenson_ @se1fpaid @beeaaaaanzz Bottom-tier ciswoman that got the nerve to even speak on a top-tier transwoma… https://t.co/5C0W0TvJao,,,,,,
jimfoxaz,jim fox,"Mesa, AZ","Self-employed Enrolled Agent tax preparer, and proud dad of the best son ever.  Christian, conservative, and very proud American, thanking God every day.","RT @MrAndyNgo: Crystal Monique Miranda, 29 was charged w/a felony over her role in the Portland #antifa riot. She's the partner of transwom…",,,,,,
JohnSheaffer5,John Sheaffer,,,"RT @MrAndyNgo: Crystal Monique Miranda, 29 was charged w/a felony over her role in the Portland #antifa riot. She's the partner of transwom…",,,,,,
Pitoloco2021,Insurrecto,Santiago de León de Caracas,"La Rebelión y la Insurgencia contra un Régimen Tiránico y Despótico califican como Legítima Defensa. Mientras más tiempo usurpe el poder, más sufrirá el pueblo!","RT @MrAndyNgo: Crystal Monique Miranda, 29 was charged w/a felony over her role in the Portland #antifa riot. She's the partner of transwom…",,,,,,
momlovesGod,Edward,,"God fearing person. Inalienable rights to life, liberty & pursuit to happiness. Blessings","RT @MrAndyNgo: Crystal Monique Miranda, 29 was charged w/a felony over her role in the Portland #antifa riot. She's the partner of transwom…",,,,,,
shelovessoftly,Land Back. Not Asking.,Mashpee Wampanoag Land,"18 - she/they - reconnecting, won’t talk to you ab it if you’re a settler, otherwise feel free to dm/ask. chronically ill/disabled. aspiring historian.",RT @genderlessf4iry: Hi guys! I'm a black nonbinary transwoman living in a toxic and violent environment. I need help funding so I can move…,,,,,,
