screen_name,name,location,bio,tweet,he/him,she/her,they/them,it/its,xe/xem,ze/zir
rsiediet,poppy,18. tw !! i interact with ed related content. ,♡︎,i have nothing again surgery’s. and i love acting like a bimbo because i may get the greatest notes in my class but… https://t.co/RDGLYWhEf3,no,no,no,no,no,no
ChelemenDaria,YourAngel,,"she/her
17
disaster
🇷🇴","RT @bamelavondoom: Accepting the premise that the slasher sub genre is a metaphor for the loss of innocence (virginity), it could be postul…",no,yes,no,no,no,no
rornronrnron,aaron,he/they 22 vegas,im the girl with the big boobs fat ass and amazing personality,@phaugette i'm not a bimbo and don't do coke 😭,yes,no,yes,no,no,no
Himbo_Bimbo_Nom,Bimbo 🦄 🔞,The basement,Ivin | 18 | Questioning gender??? | They/Them pronouns please! Here to have fun and hopefully improve my art. 18+ only. No age in bio = Blocked,"Tall people with pretty clothing just fjdbdjdgs
Jambee says that and I proceed to die fjdndm
#AphroDesia https://t.co/g6XF2Uz3b9",no,no,yes,no,no,no
YourGirlSumi,Sumi and Friends!,,| 🔞NSFW Account🔞 | RP Account | No Minors | DMs Open | Art is not mine | Bisexual | DR Acc: @YourGirlAoi | FE Acc: @YourGirlPeri | @YourLewdLemon 💖,@BackstageSlut “Oh wow the bimbo knows how to argue back even if she’s wrong.” She grunts at Rise getting pissed off.,no,no,no,no,no,no
JmarrMarr,💧Elizabeth Marr,,Living on Awabakal land,"If you are so “alive” how come you don’t use your real photo, how do we know you are even real? You could be a man… https://t.co/NSTIS4HCE0",no,no,no,no,no,no
OrbSquid,Adult human chicken,he/him,23 | he/him | charlie kelly kinnie,@premiumspiders chapos got an artist that draws them as bimbo catgirls,yes,no,no,no,no,no
bbeetleko,(s-h)⛈,dissociating,"minors DNI | 20 | sometimes 🔞 | hi i brainrot over kny and other stuff i like, this is my fandom hub | please do not repost or use my drawings! | EN/SPA ok",i think it's a win-win that I see doudaki either as a lovable himbo/bimbo couple being sweet af or nasty bitches ha… https://t.co/e30vFwvTPc,no,no,no,no,no,no
vancouvergolf,Fraser Mulholland,"Vancouver, BC, Canada","President/Commissioner of the Vancouver Golf Tour - Western Canada's Premier Developmental Tour.  Preparing Golfers for the PGA Tour.
Co-Host TSN 1040 Golf Show","With this 2 putt birdie, @kstinz @JamesAllenby win on the 19th hole &amp; head to the finals @Grupo_Bimbo #BCmatchplay… https://t.co/vXb8kqACQX",no,no,no,no,no,no
dewassill,Dennis Wassill,"Calgary,AB CANADA",NASA (Canada) Service Compound Ignition and Lubrication Fluids Flow & Recycling Engineer / Part-time Rocket Scientist,"@tails_dee @GasPriceWizard @JustinTrudeau @telfordk @cafreeland
@Victoria59L

Bimbo the Clown has done things since… https://t.co/Dd2RYbuBz9",no,no,no,no,no,no
phaugette,🍂Gustober🎃,in bed ,"they/he/she, 17
we were wrecks before we crashed into each other 
☭",@rornronrnron e2&amp; I know you're a bimbo who does coke for sure,yes,yes,yes,no,no,no
pkmnprncessdawn,Amy Rose (maid) 💎,,"18+ only!

Hi, I'm Amy Rose~","@TDesireDesigner ...Maybe you're right, that was silly of me~ I've always wanted to be a ditzy bimbo~",no,no,no,no,no,no
gillygurll,jilly (she/they) 🕸🐍🖤,"California, USA",,RT @ghoul_spice: need a new horror movie where the horror horny bimbo and the cute stoner guy are the final ppl. numetal is ofc in the movi…,no,no,no,no,no,no
VeutifulConnor,VeutifulConnor,"Virginia, USA","no one asked for this shit, so here you go.","@llazuliart Either Samus and Kahh, or the bimbo phone one",no,no,no,no,no,no
MarkSchirber,Bert the Kitten,"Olympia, WA",Just a typical orange cat,"@JoshMandelOhio Hey Josh, is there anything in the Bible about divorcing the mother of your 3 children for some bimbo on your staff?",no,no,no,no,no,no
JANETSt21239653,JANET Stanley,"Nonya, Nowhere",Nobodies business,"@VP YOU ARE A TRUE BIMBO. REAL DUMB. YOU'LL SEE.
YOU HAVE CALLED THE WRATH OF GOD UPON YOUR LIFE &amp; THE LIVES OF YOU… https://t.co/b0YS7cjxwZ",no,no,no,no,no,no
lapetitekris,Nightmare Kristiana🔞,ATL,🏳️‍⚧️  | silly lil girlfag | 1312 | BLM | she/her | GFM: https://t.co/Uw0b5s4kvX | Fansly: https://t.co/zSirzjb5PR | $10 DM fee | C/V: $lapetitekris | NO MINORS! 🔞,RT @girlsgutsgiallo: People who as are as dumb as a post are always like “I’m sapiosexual 💋” meanwhile smart people are like “I’m a bimbo t…,no,yes,no,no,no,no
DrBimboMD,dr bimbo,,I’m the fly Malcolm X buy any jeans necessary,@cutebitch_2000 HAHAH i love it and i love u babes !!! dr bimbo endorsed!!! and no been there as well…. such a waste of a good cig 😪,no,no,no,no,no,no
magneticksara,Scare-a Anderson,"Mountain View, CA","Volunteer extraordinare, hilarious and sciencey.  She/her. Black lives matter.",Love Skylar White's bimbo accountant act.,no,yes,no,no,no,no
diSEBled,seb,,"seb
6'2
17 (groomeable)
Argentine sigma male",@YssaCorn What's bimbo that's a bread,no,no,no,no,no,no
MMBSports,🏈 🏀 MMB Sports ⚾️ 🏒,New Jersey / Philadelphia,Not the worldwide leader in sports but at least the MMB version. Feel free to follow & Check out our Instagram @MMBSports,Check out 1993 Upper Deck NBA Miami Heat Bimbo Coles Trading Card #MiamiHeat https://t.co/t0zuX2ShVD via @eBay… https://t.co/lOGICGGB6M,no,no,no,no,no,no
ELL_89_,scary ell,by the seashore,she/her genderflux queer lesbian | post apocalyptic | 18+ SMUTTY | 32 | witchy | gemini | badass | anti-poet | dude is allowed | anarcho-everything,RT @girlsgutsgiallo: People who as are as dumb as a post are always like “I’m sapiosexual 💋” meanwhile smart people are like “I’m a bimbo t…,no,yes,no,no,no,no
DRYCHlCKEN,Psynasch,,large primate of ambiguous gender | 19 | omnisexual,"RT @BigFunkyJ: ""I'm a bi himbo- A 'bimbo' if you will!"" https://t.co/AnGRHHgzAb",no,no,no,no,no,no
00s_bimbo,your fav sagittarius ⁷🧚‍♀️,,20 🏳️‍🌈 she/her 18+ only pls,"RT @sailorstarstore: Grab yourself a little reptile friend 🥺

Rose Quartz Crocodiles are live at Sailor Star Store ✨ https://t.co/r1NpaBN0cW",no,yes,no,no,no,no
Disco_Stu,Spooks McKenzie 💀🎃,,"Union enjoyer. Sometimes tabletop hobbyist, full time cat daddy.
Yes: cats, mutual aid, nerd shit.
No: TERFs, SWERFs, and cops.
He/they",@tired_bimbo I wish this were me. I'm average looking and stupid,yes,no,yes,no,no,no
wanie2601,Komot Komel,,silence can be loud,"Stop this fear mongering about covid. We have been in this battle for two years, most of us are not that bimbo to n… https://t.co/qZ75jog3OK",no,no,no,no,no,no
SN00PYC0RE,nat luvr on jimin brainrot,any prns   ♡,"mitski,  my beloved","RT @bamelavondoom: Accepting the premise that the slasher sub genre is a metaphor for the loss of innocence (virginity), it could be postul…",no,no,no,no,no,no
girlsgutsgiallo,"Annie Rose, Lesbian Vampire 🩸","California, USA","Lesbian Vampire Expert, film writer, leather, and your Hostess.💋 A podcast and live screening series about controversial, subversive, sleazy cinema. ⛓",People who as are as dumb as a post are always like “I’m sapiosexual 💋” meanwhile smart people are like “I’m a bimb… https://t.co/vdQ2degiQy,no,no,no,no,no,no
