screen_name,name,location,bio,tweet,he/him,she/her,they/them,it/its,xe/xem,ze/zir
pfirsichlich,Xena (bnuy),"ON, Canada","Xena | she/her | 23 | 🏳️‍⚧⚢ | 18+ only, minors are blocked","RT @IllyBocean: ladies, imagine the erotic thrill of a stranger saying he likes your shoes, then shaking your hand, then hanging onto your…",no,yes,no,no,no,no
godsongreene_,Godson Greene  Kpodo,Accra Ghana,"Engineering. Physics. HealthTech innovator. Student of the Divine. EVs, Elon Musk, Tesla. Mental Health Advo. Startup Founder","Bible: help cometh from the Lord. 
Ladies: help cometh from Men.",no,no,no,no,no,no
barcajovaadria1,Adriana Barcajová,Slovenská republika,"Som pracujúca žena na dôchodku. Zaujímam sa o históriu, archeológiu, literatúru, clasickú hudbu, astrológiu, históriu kráľovských rodov, starovekú architektúru.",RT @AuthorMBTosi: The church ladies are abuzz when a handsome soldier in fancy clothes begins to court a quiet middle aged woman. https://t…,no,no,no,no,no,no
SHADYH0USEWIFE,Shady Housewife,,You know,"RT @ver_sayce: #RHOBH

Erika: Ladies, come to me with your questions. I am the source. Just ask.

Garcelle asks a question
Crystal asks a q…",no,no,no,no,no,no
hair_brusher,audrey,hs22 | she/they,autism diaspora poet,"RT @IllyBocean: ladies, imagine the erotic thrill of a stranger saying he likes your shoes, then shaking your hand, then hanging onto your…",no,yes,yes,no,no,no
ArkBeulah,Bolanle Oladejo,United Kingdom,"Wife @philipoladejo Mumof2|FounderOfArkBeulahMinistries: 3Arms:
●GospelMusic
●PrayingSisters
●Dig4GoldWordNuggets
Co-Pastor @tlhluton
Run ■DCouplesKlub","Join us #thissaturday 6th November, Praying Sisters #novemberedition We continue :THE HOME SERIES -'I EMBRACE WISDO… https://t.co/YcKhsGulwY",no,no,no,no,no,no
kendra_spurling,Kendra Spurling,"Washington, USA","Here for fantasy football, books, and politics....& otters. She/her. Warren Democrat.","RT @IllyBocean: ladies, imagine the erotic thrill of a stranger saying he likes your shoes, then shaking your hand, then hanging onto your…",no,yes,no,no,no,no
spitmonkey,Shaun 🇬🇧,"Yorkshire, England","Tech, Gadget, Boxing, MotoGP & Formula 1 Fan. IPTV Enthusiast #Cordcutter",@MahyarTousi He does like the mature ladies. 😉,no,no,no,no,no,no
DeVoBeams,DeVo 🇵🇷,💓 J.M.R 💓,Phil. 4:13 • Call of Duty Player for @PHIWarhawks • #TCO #BeamSquad • Streamer for @Royal6GG • Business 📧: devobeams@gmail.com,@machinesoldiers @WWL_League @Aviddityy @Sheharm_ @AdrianaDaLLama @madiconnors_ Good Luck Ladies 💪🏽🙏🏽,no,no,no,no,no,no
EkowMalik,ekow malik🇬🇭🦅,"Accra, Ghana","honest,truthful and fruitful 💯sC:ekow_malik19. :IG:ekow_malik","RT @utvghana: Ladies and gents, you wouldn’t want to miss this Saturday’s #UnitedShowbiz. @iamamamcbrown @johndumelo1 @thenanaaba @Kwanpagh…",no,no,no,no,no,no
JanesSadLife,Peter Panaphylactic Shock,,If I hear motherfucking berries and cream one more time,"RT @ver_sayce: #RHOBH

Erika: Ladies, come to me with your questions. I am the source. Just ask.

Garcelle asks a question
Crystal asks a q…",no,no,no,no,no,no
PhilTweaton,Phil Eaton,,Principal - Lake Creek HS,"RT @lchswomenstrack: We love you Emma!!! Our ladies are excited to send off Region III Champion, Emma Little, to Round Rock to compete in h…",no,no,no,no,no,no
YourFaveIsUgly,Scrappy Doo’s StressedT Out Mama,"Atlanta, GA",CADOOSAY~ 👋🏽 | Stop comparing a man to a bitch | Tendō Satori is my spirit animal | DNI if you’re a minor!!!,RT @gardenoutro: These little shits reason single ladies been stuck at 840M,no,no,no,no,no,no
ajaitf,AjaiTiana 🌸,Philly ,#RIPBEAN 💜💛 #NCCU22 polisci major 🇲🇳🇯🇲 🏳️‍🌈 IG: 1.jaii23_,"RT @theyamourtai: ladies beware, it's finna get cold, these niggas finna be looking for a place to stay... stay strong and don't fall for i…",no,no,no,no,no,no
NailzSL,Nail,"Philadelphia, PA","Twitch Streamer & Music snob |
Pansexual",@rojovishow @crazy_jan Why is the ladies boobies out? https://t.co/3EbKygjbjw,no,no,no,no,no,no
JetBomb25,Jet Bomb 💣💥,"Burbs of DETROIT, Michigan",Something sultry with a side of fuck yes 💅☀️🌈 👻💫No/Not/You,"RT @LordOfFuckery: Hello ladies, who's thirsty? https://t.co/VQmhpfECcy",no,no,no,no,no,no
BreakinBahiyya,Codeine Queen,south africa (she/her) ,"one hit wonder video game maker (after HOURS, it won an IGF award) and d-grade emo teen icon

 https://t.co/7dj3D7ZN5i",i'm giving a talk about game jams and can't think of a title. my initial title was uh not allowed (game jams more l… https://t.co/Gi5rBac36X,no,yes,no,yes,no,no
AveraDe,dona de avera,"Luling, LA",,"RT @CCowboy723: Ladies...what would you rather men know you by? 

Your intelligence?
Your personality?
Your heart?
Your looks?",no,no,no,no,no,no
