screen_name,name,location,bio,tweet,he/him,she/her,they/them,it/its,xe/xem,ze/zir
twinkjoon,jj loves bexie forever!!!!,"bun/they, 21, minors dni",jungkook please smoke a blunt w me im begging at this point plea- | amateur fanfic writer | MOONBUNNY,"RT @aglioeollieo: 🐨 Welcome to Himbo Hooters! We take GOOD care of our customers 😉

Check the thread for a cheeky lil poll ;) and how to su…",no,no,yes,no,no,no
caprimoment,Capri | Caprijima Arc,“joslyn” - joslyn | minor,professional akira nishikiyama lover | she/they,"Yakuza Kiwami 2 spoilers //

goth himbo is relatable and freed from his restraints

https://t.co/0ShyzVCWvw https://t.co/SVc9bAq4Gn",no,yes,yes,no,no,no
Brycifer666,Brycifer,Earth 616,"He/Him *BiPrideFlag*
@brycifer666 on insta 
ACAB",@TimeAndSpace_42 He is the best Tiger Himbo,yes,no,no,no,no,no
starplatinumnun,🕷nun🕷,she/her,"disaster artist(?)
i'm still a jojo stan i swear.
i release art almost never.
will graham enjoyer.
autistic.
dni if you're a member of mcytwt",@diavologirlboss no lesbian himbo solidarity? this hurts more than his death tbh,no,yes,no,no,no,no
wolfbun_,Wolbunny,LoveryYoon baby 💜,Ele/Dele | Fanboy | 🏳️‍🌈 | 23 | 🐰×🐺,"RT @aglioeollieo: 🐨 Welcome to Himbo Hooters! We take GOOD care of our customers 😉

Check the thread for a cheeky lil poll ;) and how to su…",no,no,no,no,no,no
Nxo_sky,ΠΔ-chin 🍍✨,,"#StanLOOΠΔ 🎈un tanto loco por los juegos,pokémon,series,libros de interés & fanático por el Té y los dulces ~                        Switch: SW-3316-9960-4314","RT @DeadAnthro: I haven't go thte chance to finish this sketch until today!
Missed drawing the big himbo hoss.

Yes it's a horse. https://t…",no,no,no,no,no,no
ragunyans,nat 🌻🌹 @ always sobbing 👑,"Tennessee, USA","She/Her | 26 | ISTJ | Black | #BLM !!

Multi-fandom. 
KH | FF | FE | Persona | Tales | Trails/Kiseki | AA | RF | HM/SoS",RT @EarlCrayTea: IDEAL BIMBO HIMBO RELATIONSHIP https://t.co/4JNs49hPr9,no,yes,no,no,no,no
mirohmirrors,𝘀𝘁𝗮𝗿𝗿 ☹︎,gross boy j!svng enthusiast,au archive • they/xe • new to nsfw twt but i write nsfw and sfw • 21 • -16 DNF/DNI,i may or may not have been writiing that hyvnsvng idea w himbo hyvnj!n👉👈,no,no,yes,no,yes,no
CaesarszSalad,Cat,UK ,@CaesarSays_ AD・18+・he/him・Pan ・Primarily dom top,RT @Renegade2615: My new himbo is born  @KrisTakeshi https://t.co/GIjfonZ63w,yes,no,no,no,no,no
nicodiangevlo,pritt the young avenger 🔮,they/she,nico di angelo: putting the «fun» back in funeral since 1932 • osemanverse character wannabe • child of pluto • team dello spoiler,"RT @rumblebeeart: when you’re late to the ball but you fairy godfather is... a himbo...

#SK8THEINFINITY #sk8infinity #renga #CindeReki #ma…",no,yes,yes,no,no,no
KodaKazar,Koda89 - ENVTuber,"Oklahoma City, OK","Wannabe anime critic and streamer who has no idea what he is doing. Writes for Ani-TAY and the Freakin’ Awesome Network
#VTuber #ENVTuber",RT @EarlCrayTea: IDEAL BIMBO HIMBO RELATIONSHIP https://t.co/4JNs49hPr9,yes,no,no,no,no,no
Peagrimes,patrick grimes,"Fairfax, VA","""I'd sell you to Satan for one corn chip""   He/Him","RT @bon_abhijeet: Can I just say, any discourse on himbo culture is incomplete with Señor Senior Junior ?? https://t.co/ga897QaP2Q",yes,no,no,no,no,no
milfthor,pauls gf,15 | they/she/fleur ,࿐ ˚ . ✦ don cheadle i love you beard it is so sexy @lonesomeIies + my name is jo,@b1yst4rks pietro is literally my best himbo friend and lucy is my girl(friend) so..,no,yes,yes,yes,no,no
Leo50831535,Leo,,"18 * she/they/him * pan * hispanic * don't be horny on main they said, so here I am * THIS IS JUST GONNA BE A COLLECTION OF MY HORNIES SO 18+ MINORS DNI*",RT @SybLaTortue: 💪 Himbo Fitspiration postcard I did for @BNHAcalendar https://t.co/FXBiy869ak,no,yes,yes,no,no,no
zziatizia,☾ storta 🛹 sk8 spoilers,Cabin three - camp halfblood,"“Nah, she didin’t” @mssrmoonyy | she / her | #ALEXFIERRO: I wasn’t going to die without doing that. | JPA | famigliOLa | 🎨 @_Steffanarts | @percysimpp","RT @rumblebeeart: when you’re late to the ball but you fairy godfather is... a himbo...

#SK8THEINFINITY #sk8infinity #renga #CindeReki #ma…",no,yes,no,no,no,no
hxmonkiss,— — 𝐂 .,mun is 20 !! she/they 🌸,🌻 ࿐  シャボンランチャー !,"STUPID FUCKING HIMBO

        I",no,yes,yes,no,no,no
rp_archie,thirsty_archie,"Atlanta, GA","Gay rp, hard bottom, 18+ only",RT @SilvySpark: Masked Himbo Gets Spooked in From the Darkness! Come join as we play another spooky game : D https://t.co/BHX0z939pa,no,no,no,no,no,no
