screen_name,name,location,bio,tweet,he/him,she/her,they/them,it/its,xe/xem,ze/zir
xlostasfoundx,Danna Amelia Pond,"Winnipeg, Manitoba","Lesbian. Indie Rock Musician. She/They.

LaF Productions LLC.
New Album, Available Now :
https://t.co/XGhf8DsKPY","Hey guys and gals, theydies and gentlethems, my friend's house was ransacked the other night.

Please help!… https://t.co/d1DYNitC3l",no,yes,yes,no,no,no
graceispeachy,bingo grace 🧚🏻‍♀️,"Oregon, USA",just a big honkin cheese fiend | she/her/they/them are all fab and so are you!!,"Woke up from my nap to the smell of my husband making dinner. Get that bag, theydies 😌💅",no,yes,yes,no,no,no
ifemia9,ife 🤍,,"🌱🌷🧡 | she/her 20 | ♋︎ ☉, ♈︎ ☽, ♌︎ ↑",to all lady and theydies taurus placements: I love u,no,yes,no,no,no,no
_revoltac,♥ princess peach ♥,she/her,"cats, curly hair and probs sounding off about something x",just an ounce of self control wouldn’t go a miss but do you know what. this time tomorrow my face will be filled on… https://t.co/U2CzJaPX39,no,yes,no,no,no,no
pikalouis,louis,"Pittsburgh, PA",glorified local | married | he/him,i will chat with all you gents ladies and theydies soon but know i’m making ina garten’s arrabbiata with my husband… https://t.co/CByJlpUpdP,yes,no,no,no,no,no
queersandqueers,🌸 rose 🌸,21~they/them~LDN,hey flopstie,"found both my airpods again, nothing but wins this week theydies https://t.co/OXn5e8SsRj",no,no,yes,no,no,no
CretinBot,MarBot,BotVille,HI I TWEET THINGS.,outgoing friend request more like introverted friend request am i right theydies and gentlethems,no,no,no,no,no,no
MaybisslyC,maybissly: carrie,"Cape St Claire, MD",doin it for the homies,"THEYDIES AND GENTLETHEMS THE TIME HAS COME!!!! 
🚨🚨HAPPY 4:20 ON 4/20!!!!!!🍃🍃🤩😌🥵😅🤤😩😯💨
I have fulfilled my destiny 😌",no,no,no,yes,no,no
Clownish_,🤡CLOWNISH🤡,🎪THE CIRCUS🎪,🎈 LGBTQ+ (ALL PRONOUNS) 🎈 NEURODIVERGENT 🎈 20 🎈 VARIETY 🎈STREAMER AND ARTIST 🎈 BLOCK GAME ENTHUSIAST 🎈 GOD LEFT ME UNFINISHED🎈 MAYOR OF CLOWN TOWN USA🎈,"RT @ChaosTriple: @milcish hi :)) all y’all ladies, m’theydies and gentlethems, you’re all valid. https://t.co/oRTKL0TPmQ",no,no,no,no,no,no
zachham54,Zach ☁️,Iowa State University,still waiting to become a digidestined,she is fully vaxxed theydies https://t.co/9bTpXWiKIu,no,no,no,no,no,no
