screen_name,name,location,bio,tweet,he/him,she/her,they/them,it/its,xe/xem,ze/zir
TyrianAfterDark,Whorse,"Orlando, FL",Gay / 18 / NSFW / 🔞 / Bottom / Loves bara and size differences / AD of @ThatDumbHorse,RT @Renegade2615: My new himbo is born  @KrisTakeshi https://t.co/GIjfonZ63w,no,no,no,no,no,no
ItsTheBoat,panickin’ skywalker,"Orlando, FL",Donald Hallene I guess. he/him. trying to make good life choices to varying degrees of success.,@StephMeyerrrr The Winter Himbo,yes,no,no,no,no,no
Joe13Monster,Joseph💀,Burbank,"I like to think of myself as a suffering tortured artist, except I don’t make art. 💀 he/him/his",@nekr0mantix @adrianraee Okay I’m dying at “Lovecraftian Himbo” 💀💀💀,yes,no,no,no,no,no
ScarSnapdragon,Wind Sprite Bel,Canada,"Defund the police, the Mounties, and give those resources to the Tribes who were here before the white man. They/Fae (Genderfluid), Neurodivergent, White.","Oh, to be but in a himbo's arms, and swept away to a happily ever after.",no,no,yes,no,no,no
boredzter,Denji's turned-to-crap brain,Fgcu,pfp by: @supaseventh full time shitposter he/him/23 @jjonggs 🥰,"RT @bon_abhijeet: Can I just say, any discourse on himbo culture is incomplete with Señor Senior Junior ?? https://t.co/ga897QaP2Q",yes,no,no,no,no,no
ghostqueen01,permanently tired,angst city baby,☠ Nico ☠ 23 🔞 NSFW 🔞 No Minors!!!🔞 Angst Queen💥I love Bakugou more than anything💥@frecklewife is the crybaby to my anger💥,"RT @bon_abhijeet: Can I just say, any discourse on himbo culture is incomplete with Señor Senior Junior ?? https://t.co/ga897QaP2Q",no,no,no,no,no,no
brosipher,coochie monster,"Santa Monica, CA",IM PRETTY FLY FOR A BI GUY 🇲🇽 🤙🏽,"RT @bon_abhijeet: Can I just say, any discourse on himbo culture is incomplete with Señor Senior Junior ?? https://t.co/ga897QaP2Q",no,no,no,no,no,no
MrWhaleIsland_,🎃NearlyHeadlessNick🎃,Texas,"Ok. Cool Hook’Em! 🤘🏼 “Strike me down in anger, and I will always be with you.” o.o TAMUCT19","RT @bon_abhijeet: Can I just say, any discourse on himbo culture is incomplete with Señor Senior Junior ?? https://t.co/ga897QaP2Q",no,no,no,no,no,no
TrashDerg,Trash Dragon,Portland OR,Dragon and/or Coyote. 30. He/Him. Gay AF. 18+ only/NSFW; No age? I block. D&D/MTG/science nerd. Sometimes writes porn. ❤ @slobbermaw. PFP/Banner: @BonfireDemon,RT @Renegade2615: My new himbo is born  @KrisTakeshi https://t.co/GIjfonZ63w,yes,no,no,no,no,no
Reidroart,Robbie Reid,"Dundee, Scotland",“I’m a Libra and I love pink” • I just wish I was hot so I didn’t have to compensate by being so incredibly funny all the time • he/him,"RT @bon_abhijeet: Can I just say, any discourse on himbo culture is incomplete with Señor Senior Junior ?? https://t.co/ga897QaP2Q",yes,no,no,no,no,no
