screen_name,name,location,bio,tweet,he/him,she/her,they/them,it/its,xe/xem,ze/zir
K4TSUKITTY,shan⁰²,20 | white |  she/they,i have a lot of dreams. and most of them are about women | she/they | lesbian,RT @willbondspeare: #ELDERVEX : ceo of the drunk himbo trope 🍸! https://t.co/Y8CktFsthj,no,yes,yes,no,no,no
froggwixxch,💚Froggy💚,,"💚Froggy💚
🌸Non binary🌸
🌸21/it/him/Demi-ace🌸
🌸Read the Warnings 🌸
💚Random Ass Content💚",@Himbo_Bimbo_Nom OH They just change their size due to fuck shit clown powers but their base height is around 8'9 so thats cool,no,no,no,yes,no,no
ChovexaniArt,🇵🇷🌈Chovexani Art 🌈🇵🇷,Delaware USA,"Nerdy artsy and artsy crafty type. 
Chovexani (chō vex ha nē)  Romanes (Romani language) word for witch. (She/Her) https://t.co/mdZLnby9ck if u wanna",So ... the most bro Thor is the himbo heart of the team?,no,yes,no,no,no,no
EclareFimogen,Eclare Forever & Always ❤,Scotland 🏴󠁧󠁢󠁳󠁣󠁴󠁿,"She/Her Clare Edwards, Alli Bhandari, Fiona Coyne, Liberty Van Zhant & other Degrassi girls are my babies I want to protect them ❤","Liberty: 
Liberty/Spinner (smart girl x himbo)
Liberty/Sav (Brother's best friend)

Marisol:
Marisol/Jake
Marisol/A… https://t.co/CqjQU1hhwQ",no,yes,no,no,no,no
Himbo_Bimbo_Nom,Bimbo 🦄 🔞,The basement,"Ivin | 18 | Questioning gender?? | They/Them pronouns please! 18+ only. No age in bio = Blocked. Here to make art and make new friends! 
Pfp by @DoodlesShy","@froggwixxch Watch me try and honk it and my dumbass loses an arm in the process fjdHDJ-
Also how tall are they??… https://t.co/Vk0LlifQO2",no,no,yes,no,no,no
leftist_himbo,🇱🇧Leftist Himbo ☭ 🇦🇲,"Austin, TX","Your local Marxist Himbo ☭ | he/him | 🤙🏽 Bolivian, Lebanese, Armenian. | Anti-Imperialist, Anti-Fascist | 18+ 🔞",@BlueKenpai Oh god,yes,no,no,no,no,no
babblingfringe,EasilyDistracted,,"I mostly just reply to stuff with piss-takes, frequently a fool. He/Him, all opinions expressed are quite possibly poorly thought out.",@swolecialism But what if you had more than one? Could a Himbo be so swoll that he could not escape the event horiz… https://t.co/pL3sCnlzX0,yes,no,no,no,no,no
BlueKenpai,kenpai ☃️,any/all,22 | degenerate | the antifa libertarian communist that the right fears,@leftist_himbo Like Fox News but somehow worse,no,no,no,no,no,no
leftist_himbo,🇱🇧Leftist Himbo ☭ 🇦🇲,"Austin, TX","Your local Marxist Himbo ☭ | he/him | 🤙🏽 Bolivian, Lebanese, Armenian. | Anti-Imperialist, Anti-Fascist | 18+ 🔞",@thefirstrin_y0 Setting boundaries was something I had to learn to do this year. It pays off,yes,no,no,no,no,no
Lewd_Lunar,🔞Lunar Artist🔞,"Mississippi, USA","🔞 
Lunar - 20 - bi/pan - nonbinary ; any pronouns, I make NSFW and SFW Art. 
all characters are over 18. 
DMs - open, Comms - open","I know everyone and their mother simps for fish himbo Sidon, and I'm not excluding myself, but got DAMN I love urbosa 😍😍",no,no,no,no,no,no
froggwixxch,💚Froggy💚,,"💚Froggy💚
🌸Non binary🌸
🌸21/it/him/Demi-ace🌸
🌸Read the Warnings 🌸
💚Random Ass Content💚","@Himbo_Bimbo_Nom Oooo, Yeah it does! But you can only find that out if you manage to get close enough without them… https://t.co/noFBJwaTAS",no,no,no,yes,no,no
toorucore,^_−☆,🦐,i cook da meatball,@basedinwhat to be VERY honest i find him and itto pretty boring but since theyre a malewife and a himbo respectively i be like Okay,no,no,no,no,no,no
Himbo_Bimbo_Nom,Bimbo 🦄 🔞,The basement,"Ivin | 18 | Questioning gender?? | They/Them pronouns please! 18+ only. No age in bio = Blocked. Here to make art and make new friends! 
Pfp by @DoodlesShy","@froggwixxch Oooo! 
Does their ball nose squeak/honk to? 
I like em!",no,no,yes,no,no,no
b1ke_n1ght,kody ✨ (taylor's version),"Michigan, USA",kody || 24 || they/them || chris colfer marry me challenge (this is legally a joke),sam evans has one single character trait and it's being a himbo,no,no,yes,no,no,no
TESTOSTEBONE,𐐪 EMILIO 𐑂,6TEEN    milo    ❥x0,ur favorite baby boysenberry / mlmtwt-nblmtwt,RT @queernbypos: when hes a himbo &lt;33,no,no,no,no,no,no
mlmewhen,atticus 😵‍💫,he pup prince • 15,⭒ DNI if ur not mlm / nbylm ⭒ read carrd byf ⭒,RT @queernbypos: when hes a himbo &lt;33,yes,no,no,no,no,no
leftist_himbo,🇱🇧Leftist Himbo ☭ 🇦🇲,"Austin, TX","Your local Marxist Himbo ☭ | he/him | 🤙🏽 Bolivian, Lebanese, Armenian. | Anti-Imperialist, Anti-Fascist | 18+ 🔞",Wtf is Newsmax https://t.co/1XP40hCMaU,yes,no,no,no,no,no
werewolf_himbo,Rowan 🌙,,"Virgo ☀️ Aries 🌙  Sagittarius ⬆️                              He/him - they/them | 20
| Icon by @kaeyafucker420","@JRhoshii WAAAHH OH MY GOD, I love this so much!! He looks so 😭🥺💜
Would it be okay if I could use this as my icon? No worries if not! :D",yes,no,yes,no,no,no
himbo_anonymous,Him’s Giving Anonymous,My Mind,| He/Him | 24 | Pisces | Here to ask questions nobody asked for |,RT @mrdarcysgf: do you ever feel like an ophelia painting? https://t.co/44rI9DNTOc,yes,no,no,no,no,no
