screen_name,name,location,bio,tweet,he/him,she/her,they/them,it/its,xe/xem,ze/zir,ze/zem
UncomfyT,Uncomfy.tweets,,,RT @Theebigdragonn: MAJOR GLO UP😳 #transgender #lgbt #TransDayOfVisibility #transwoman #glowup https://t.co/OBZpVxwsgX,no,no,no,no,no,no,
a1sira98,smiling xingqiu,"New York, USA",Alyssa/Lyss - she/they/ze - 22 - 🏳️‍🌈🇹🇹🇺🇸 - I make art and write. - currently writing a poetry book,"RT @222xen: tw//transphobia and abuse

this has been dead pls revive this back again im an asian transwoman living in a severely transphobi…",no,yes,yes,no,no,,yes
Ranok89,Ranok89,,,RT @aalfikar: Idk but watching this reminds me of a transwoman I met someday years back in a church that I visited. Her voice is so majesti…,no,no,no,no,no,no,
tobioluvv,Avi !!CHECK RTS!!,she/her minor ☬,☬ Free @mafuyuluvv already,"RT @222xen: tw//transphobia and abuse

this has been dead pls revive this back again im an asian transwoman living in a severely transphobi…",no,yes,no,no,no,no,
spxmernova,abolish the police,existing,"they/he (nonbinary) | 17 | abolish, not reform","RT @222xen: tw//transphobia and abuse

this has been dead pls revive this back again im an asian transwoman living in a severely transphobi…",yes,no,yes,no,no,no,
KevinAylward12,Kevin Aylward B.Sc.,"London, England","I am an analog IC design Engineer. I have played guitar since the age of 11. Freedom of expression, science & rationality are fundamental to my worldview.","@bibbs206 @kadmii1 @JBJ_Filmmaker @danieldennett Gender theory, as enforced by Stonewall replaces sex with gender.… https://t.co/g62h91BxTa",no,no,no,no,no,no,
Poposindoe,Popo 🌸,,"i'm Popo, Informatics Engineering,
C#, cita-cita ke mekkah lalu israel
let's, spirit for the pursuit of success! Ausfall der Anfang eines Erfolgs",RT @aalfikar: Idk but watching this reminds me of a transwoman I met someday years back in a church that I visited. Her voice is so majesti…,no,no,no,no,no,no,
catsbiann,agii ⚢🌱,,autistic bee/buzz lesbian,"RT @222xen: tw//transphobia and abuse

this has been dead pls revive this back again im an asian transwoman living in a severely transphobi…",no,no,no,no,no,no,
sondereve,sonder (not ramadan-safe),she/her • 17 • sapphic,👩‍❤️‍💋‍👩👩‍❤️‍💋‍👩👩‍❤️‍💋‍👩,"RT @222xen: tw//transphobia and abuse

this has been dead pls revive this back again im an asian transwoman living in a severely transphobi…",no,yes,no,no,no,no,
tophsshoe,kal,kyalinzumi supremacy,16 ✧ they/them ✧ filo ✧ BYF! https://t.co/uLs5WXbdne,"RT @222xen: tw//transphobia and abuse

this has been dead pls revive this back again im an asian transwoman living in a severely transphobi…",no,no,yes,no,no,no,
excalibitch,ian✨,krakoa,"buy gwenpool strikes back so she gets an ongoing again please.... dm me for my main account if we're mutuals 😌 transphobes, freaks, bigots DNI (he/him)","RT @222xen: tw//transphobia and abuse

this has been dead pls revive this back again im an asian transwoman living in a severely transphobi…",yes,yes,no,no,no,no,
KaraLG84,Kara Goldfinch,"Bury, Greater Manchester, UK","Disabled lesbian trans woman (pronouns she/her).
Married to the beautiful @louiseag79.
I'm a musician, audio editor and a certified NVDA expert.
I'm an SJW.","@Conundrum9999 just so you are aware, the convention is to put a space between trans and the word after that, so ‘t… https://t.co/iUsE4b9tyD",no,yes,no,no,no,no,
jerukmasamanis,Jolyne is green 🇲🇾,Malaysia,Yare yare dawa,RT @aalfikar: Idk but watching this reminds me of a transwoman I met someday years back in a church that I visited. Her voice is so majesti…,no,no,no,no,no,no,
boydestroy6,Cat,Lake Titicaca,I'm a cat. Property is fake. Life is real.,RT @ninamonei: A Black transwoman is raising money for her transition. Please donate and share ♥️✨,no,no,no,no,no,no,
lightsong96,dengki ke?,LGBT Clan,leftist. he/him/dia. bm/bi. rt & likes =/= sokongan. suka mengkritik & berkongsi pendapat. founder of @lmqbro #tetapbangga,RT @aalfikar: Idk but watching this reminds me of a transwoman I met someday years back in a church that I visited. Her voice is so majesti…,yes,no,no,no,no,no,
sapphicazulas,sky :) | praising azula 🙌,she/they | 16 | black,"#AZULA: you must marry me ty lee , or may you never rise from the ashes of your shame and humiliation !","RT @222xen: tw//transphobia and abuse

this has been dead pls revive this back again im an asian transwoman living in a severely transphobi…",no,yes,yes,no,no,no,
YarnGlitterGlue,Yarn Glitter Glue,,,RT @Nineteen8OFour: Amazing how when trans inclusion happens it's always a transgirl or a transwoman. Where are the transmen? 🙄,no,no,no,no,no,no,
cloudynailea,jessic ✂️ YVETTE WEEK,she/her,danny devito lover. fan account dedicated to @dilfsforskz,"RT @222xen: tw//transphobia and abuse

this has been dead pls revive this back again im an asian transwoman living in a severely transphobi…",no,yes,no,no,no,no,
heecvt,ًlivy ♡'s alexa,s/h 18 aroace ,#1 lee soojin enthusiast,"RT @222xen: tw//transphobia and abuse

this has been dead pls revive this back again im an asian transwoman living in a severely transphobi…",no,no,no,no,no,no,
THEL4STTIME,evie (From The Vault),She Fae They ❀ CBYF/i,taylor adorer,"RT @222xen: tw//transphobia and abuse

this has been dead pls revive this back again im an asian transwoman living in a severely transphobi…",no,yes,yes,no,no,no,
georgieissuper,JOLYNE'S BITCH ☽☾ @ STONE OCEAN,Canada,#CATRA: I am not cute! 🍊 caesar & joseph est. 1939 | white she/her 19 ★ (interests all over the place) cr: stardust crusaders,"RT @222xen: tw//transphobia and abuse

this has been dead pls revive this back again im an asian transwoman living in a severely transphobi…",no,yes,no,no,no,no,
CXTMELEON,biana ᚠ oh no,⚢ ★ ᚠ 15┊ae / pup,#BIANA: goose vs war criminal???┊mw @hesbianyang┊cr soc,"RT @222xen: tw//transphobia and abuse

this has been dead pls revive this back again im an asian transwoman living in a severely transphobi…",no,no,no,no,no,no,
thebeifongclan,swampy moped go brr,east asian 🇨🇳🇸🇬,"he/fleur/sol/they | lesbian | 18 | #YMIR: so please, just this once, stay. | READ CARRD BYF","RT @222xen: tw//transphobia and abuse

this has been dead pls revive this back again im an asian transwoman living in a severely transphobi…",yes,no,yes,no,no,no,
MermaidMel1,Mermaid Mel 🏳️‍⚧️,,"I'm a transgirl who posts pictures in lingerie, for more variety and more explicit content follow the link
#Transgirl #onlyfans #transgenderwoman #transonlyfans","For #trans lovers 1 day free trial for my #onlyfans, Limited offer for the first 10 people
https://t.co/BF4Ab7wSiH… https://t.co/LuYLhHVVKT",no,no,no,no,no,no,
wenseul4evermor,greg¹³ | the police is a gang | Taylor's Version|,,"he/him | Jamaican SwiftieVelvet | Desperate people find faith, so now I pray to Jesus too","RT @222xen: tw//transphobia and abuse

this has been dead pls revive this back again im an asian transwoman living in a severely transphobi…",yes,no,no,no,no,no,
beaniebarbie,raymond noodles,she/they,coochielations 1:69 | ig: wickedwitchies (23),"RT @222xen: tw//transphobia and abuse

this has been dead pls revive this back again im an asian transwoman living in a severely transphobi…",no,yes,yes,no,no,no,
CyberneticsFTW,James Watt,"La Mancha, Spain","""For our system is founded on self-government, which is untenable if the individuals who make up the system are unable to govern themselves.” Eleanor Roosevelt","@Drazinononda @Tozierswhore @PoorPig Logic really isn't your forte; probably think it's a ""tool of the Patriarchy!!… https://t.co/Utakj7g4XB",no,no,no,no,no,no,
kuroneedssleep,kuro | tobio running,,when will he stop | kuro | she/her/hers | posts anything from hq!! bnha to kpop to fire emblem | art acct @kurodoroppu,RT @onecoldhottea: for Day 1 of #ThirstyTobioWeek : a transwoman #kageyamatobio for y’all ✨ https://t.co/YHTiRtzOv1,yes,yes,no,no,no,no,
SapphicWelding,Rose - Officially an EIT! 👩‍🔧🔧🧪,"she/her, trains gener","Amazon, Blue Origin, Washington Post",@gregenjoyer one of the games kiryu has a discussion about gender identity and shit with an honest to go transwoman lmao,no,yes,no,no,no,no,
kupaprikas,happy ♡☆,carrd byf,"she/they. bsd, jjk; currently reading blue period. —i love you as one loves certain obscure things, secretly, between the shadow and the soul.","@tsujiimuras tw // murder , transphobia 

HAH like it's not already starting. the ph army has begun exercises ('bal… https://t.co/buDbEVYHSp",no,yes,yes,no,no,no,
Crashing_Wave_,Crashing Waves,,,"@hemantmehta To a transphobe, the two ideas are the same. People who don't believe a transwoman is a woman, believe… https://t.co/q8X9iMW5b5",no,no,no,no,no,no,
lunaruris,stan,they,pls just follow my letterboxd i’ll do anything for you i’ll kiss u pls @ghosttoon,"RT @222xen: tw//transphobia and abuse

this has been dead pls revive this back again im an asian transwoman living in a severely transphobi…",no,no,yes,no,no,no,
Conundrum9999,Katie “the limit does not exist” (mean / them),Stolen Atfalati land,"Blind, neurodivergent, queer xicanx, ANTIFA software dev & physics student.
Stolen Atfalati land (Anarchist Jurisdiction)
Please help!: https://t.co/RblpJZq1Zt",RT @Conundrum9999: @anitanoelleg @livelaughloot_ @expectlettuce @CrustySocks5 @kmwdotcom @AugustinaEliza @Antifada161 @RisingPDX @Lazzy102…,no,no,no,no,no,no,
Conundrum9999,Katie “the limit does not exist” (mean / them),Stolen Atfalati land,"Blind, neurodivergent, queer xicanx, ANTIFA software dev & physics student.
Stolen Atfalati land (Anarchist Jurisdiction)
Please help!: https://t.co/RblpJZq1Zt",@anitanoelleg @livelaughloot_ @expectlettuce @CrustySocks5 @kmwdotcom @AugustinaEliza @Antifada161 @RisingPDX… https://t.co/hBtnVkbIL3,no,no,no,no,no,no,
anniNiOne,NiCo,,,"@tatted_exotica hello, whats the ""ts"" in your profile? are you a transwoman?",no,no,no,no,no,no,
Dazed_Tays,𝕾𝖐𝖞𝖑𝖆𝖗-𝕽𝖔𝖘𝖊,𝕹𝖎𝖌𝖍𝖙 𝕮𝖎𝖙𝖞,𝔢-𝔤𝔦𝔯𝔩/𝔤𝔞𝔪𝔢𝔯 𝔤𝔦𝔯𝔩 | 𝖙𝖗𝖆𝖓𝖘𝖌𝖊𝖓𝖉𝖊𝖗 𝖆𝖓𝖎𝖒𝖊 𝖌𝖎𝖗𝖑 |20| 𝔖𝔥𝔢/𝔗𝔥𝔢𝔶 | 𝔣𝔦𝔤𝔥𝔱𝔦𝔫𝔤 𝔠𝔯𝔦𝔪𝔢 | 🏳️‍⚧️🏳️‍🌈 | fang🤍,would y’all be surprised if i said i was a queer transwoman of color? just checking,no,no,no,no,no,no,
RaiderJones5,Raider Jones,,"Gamer, collector, cosplayer, adventurer, artist, writer. Seeker of truth. Defender of pop culture. Obtainer of rare antiquities. #superstraight","@demonscythsynth 🤣 Yep, to bad plans for a sequel and a TV show fell through......Imagine if they would have made a… https://t.co/qBT8RaLDdt",no,no,no,no,no,no,
Wya11_Mason,Eleven,Strength!!,"Oh, wow, hi!  I'm Wyatt Mason, but I think I also use Eleven, and I'm really not supposed to exist!  It's great to meet you!!! 🤗 xe/xir or they/them please!!!!","RT @MBlaseball: [OOC: content warning discussion of abuse, specifically towards transwoman. Felt that this is important to share.]",no,no,yes,yes,yes,no,
MBlaseball,🎸🧙‍♀️💜Magi 'Maggie' Ruiz💜🧙‍♀️🎸,Reading between pitches,"Magi Ruiz 🧙‍♀️⚡💜 She/they, 21. 8th pitcher / tubular bell player for @TheSeaGarages since S13. Sound wizard. Park it! 🎸 RP account. Trans rights & BLM🇹🇭","[OOC: content warning discussion of abuse, specifically towards transwoman. Felt that this is important to share.] https://t.co/y9bpAy9QTt",no,yes,yes,yes,no,no,
lautvz,lo,,"i believe in me supremacy, worship me and only me💜","RT @222xen: tw//transphobia and abuse

this has been dead pls revive this back again im an asian transwoman living in a severely transphobi…",no,no,no,no,no,no,
_serennnaaaa,rena,,مسلمة 💞. ||🇳🇬x🇮🇪||,"RT @222xen: tw//transphobia and abuse

im a transwoman of color living in a severely transphobic country and abusive household. my life pot…",no,no,no,no,no,no,
king_shanka,King-T'shanka,,"YRG
Lebron fan, Rodgers fan, ROnaldo fan",@SenpaiWannafu I identify as a transwoman https://t.co/WkwYCtI1UL,no,no,no,no,no,no,
Squatch72599967,Squatch (anarcho-posodomism),"Alpharetta, GA",He/Him,"So like no bullshit, if a transwoman sends you a nude and her dick is prominent in the picture, is it okay to compl… https://t.co/wrCkYaQLKX",yes,no,no,no,no,no,
CULLENPRADA,༺♥༻,,black lives will always matter (she/her),"RT @222xen: tw//transphobia and abuse

this has been dead pls revive this back again im an asian transwoman living in a severely transphobi…",no,yes,no,no,no,no,
CYBER1AA,cyber🫂,she/him | 🇱🇦 ,thinkin abt nihachu. . . 💭,"RT @222xen: tw//transphobia and abuse

im a transwoman of color living in a severely transphobic country and abusive household. my life pot…",no,yes,no,no,no,no,
051819_7,☾ʜᴇɪᴢᴇ⁷ .⋆·✵ ✦˚,she/her,"♛
🇬🇭 
@Bts_twt #♩♪♩♬","RT @222xen: tw//transphobia and abuse

this has been dead pls revive this back again im an asian transwoman living in a severely transphobi…",no,yes,no,no,no,no,
tomiaprh,Tomi,Jazzkarta,70% water 30% disappointment,RT @aalfikar: Idk but watching this reminds me of a transwoman I met someday years back in a church that I visited. Her voice is so majesti…,no,no,no,no,no,no,
Conundrum9999,Katie “the limit does not exist” (mean / them),Stolen Atfalati land,"Blind, neurodivergent, queer xicanx, ANTIFA software dev & physics student.
Stolen Atfalati land (Anarchist Jurisdiction)
Please help!: https://t.co/RblpJZq1Zt",@livelaughloot_ @expectlettuce @CrustySocks5 @anitanoelleg @kmwdotcom @AugustinaEliza @Antifada161 @RisingPDX… https://t.co/RscpvaA9mt,no,no,no,no,no,no,
AlexySinclair,🌻Alexy Sinclair 🏳️‍⚧️,"Syracuse, UT","(she/they) / 22 / Twitch Affiliate / icon: @SymbolicProto /💙 taken 💜 by two goofballs/ ex semi-pro apex player
business inquiries : alexysinclair@gmail.com",@GrayIsAColour Heya I'm Alexy sinclair and im an nonbinary transwoman I go by She/They pronouns https://t.co/60TL18Eclc,no,yes,yes,no,no,no,
