screen_name,name,location,bio,tweet,he/him,she/her,they/them,it/its,xe/xem,ze/zir
thembo_baggins,emo grandpa,"king, they/them, bi, fl, ♎",joss whedon hate account,watching venom bc I love not thinking,no,no,yes,no,no,no
thembo_hours,your local them🅱️o,,"23 y.o. enby.
Your average NSFW side-account 😔 🔞",RT @BishoujoMom: @Kotaku All the people on my OF disagree with you 🤣 https://t.co/GAv6qvLf1c,no,no,no,no,no,no
thembo_hours,your local them🅱️o,,"23 y.o. enby.
Your average NSFW side-account 😔 🔞",Maybe the painful periods are just a punishment for my horny crimes?,no,no,no,no,no,no
Bigtittyw0rmz,W0rmz,"Virginia, USA",im mentally ill and gay,Can everyone STOP ignoring my job applications damn i know im dumb but GUESS WHAT dumb ppl need to eat too and we t… https://t.co/Swt9Tq8PEf,no,no,no,no,no,no
perky_thembo,rainbow 🌈,,BLM ACAB they/them  I don’t call myself a man but your wife still calls me to fuck,Everybody should have a robotic legs savings,no,no,yes,no,no,no
RELIQUlAE,𝘍𝘐𝘕𝘈𝘓 𝘎𝘐𝘙𝘓.,— 𝙞 𝙩𝙝𝙞𝙣𝙠 𝙞 𝙢𝙞𝙜𝙝𝙩 𝙗𝙚 𝙖 𝙩𝙝𝙧𝙚𝙖𝙩 𝙩𝙤 𝙢𝙮𝙨𝙚𝙡𝙛.,,/ sam is a she/they lesbian thembo icon in this essay i will,no,no,no,no,no,no
thembo_hours,your local them🅱️o,,"23 y.o. enby.
Your average NSFW side-account 😔 🔞","RT @C0FFINATED: hey another thot dnd character! and he's even a bard!!
and an artist as well!!! (college of portraiture)

will be fun playi…",no,no,no,no,no,no
thembo_hours,your local them🅱️o,,"23 y.o. enby.
Your average NSFW side-account 😔 🔞",I am once again in pain,no,no,no,no,no,no
RELIQUlAE,𝘍𝘐𝘕𝘈𝘓 𝘎𝘐𝘙𝘓.,— 𝙞 𝙩𝙝𝙞𝙣𝙠 𝙞 𝙢𝙞𝙜𝙝𝙩 𝙗𝙚 𝙖 𝙩𝙝𝙧𝙚𝙖𝙩 𝙩𝙤 𝙢𝙮𝙨𝙚𝙡𝙛.,,"i can accept the fact that jess has a — 

  ( what’s this? her face is going red? ) 

. . i’m not finishing that st… https://t.co/ggjpcQ42Yt",no,no,no,no,no,no
EmerilLugosi,Lauren,"Louisiana, USA",I love dying and being dead.,"Happy Birthday to @lemonasshead, my sexxxi little thembo!!!!!!!!",no,no,no,no,no,no
thembo_hours,your local them🅱️o,,"23 y.o. enby.
Your average NSFW side-account 😔 🔞","@buttnacked Alright then, keep your secrets",no,no,no,no,no,no
Novachozo,Ash 🐝 #HIVESZN #BLM,Probably sleeping,I'm just a nerd who loves music | THE HIVE 🐝 #HIVESZN $novachozo @lovgh0ul 🥺❤️,@hydrated_thembo I should've invested,no,no,no,no,no,no
