screen_name,name,location,bio,tweet,he/him,she/her,they/them,it/its,xe/xem,ze/zir
ltyhyuck,`,she/her,#TAEYONG : yes I steal ltyhyuck's ideas,ladies and gentlethem— him 😥😥😥 https://t.co/qTcYVxirbv,no,yes,no,no,no,no
llamarmy__,rubie :),they/she,"""my twitter feed's like my brain, 'cause i have it on dark mode""","RT @faevy__: people who call nonbinary people “ m’theydys or gentlethems ” . genuinely rethink what you’re doing, the whole point of being…",no,yes,yes,yes,no,no
MeadowCris,♥︎Meadow♥︎,Bdegc - br(&r)egc,|| Stan ruler boy and muffin man || She/Her || #happytwt || #RATCOTWT SUPREMACY || minor || Layout by @layaakasomeone ||,"RT @faevy__: people who call nonbinary people “ m’theydys or gentlethems ” . genuinely rethink what you’re doing, the whole point of being…",no,yes,no,no,no,no
sapphicfairyy,leo,sunny ♥,they / them | lesbo,@intrntbf LMAO and wtf is a “gentlethem”🙁,no,no,yes,no,no,no
MYLM4NBURG,aether/bat ²³ !,14 | 18+ + cishets dni,he / they / it / fire | layout by @/SAD_istfied,"RT @faevy__: people who call nonbinary people “ m’theydys or gentlethems ” . genuinely rethink what you’re doing, the whole point of being…",yes,no,yes,yes,no,no
vespayik,Vespayik,"Alberta, Canada",N-B they/them | Queer ♠️ | 26 | autistic | Pimicikamak Cree and whitepassing | 18+ only | @CrossingVespi AC side account | ✿❀ 🏳️‍🌈 | BLM,"RT @cosmignon: Finished commission for @Spacialshepherd! Presenting the esteemed Professor Anthony Scunthorpe-Fortesque, a gentlethem of cl…",no,no,yes,no,no,no
NoNotTheParrot,mel 🍄 || I'm tired,she/they (i prefer she),feral boys & beeduo | 17,"RT @faevy__: people who call nonbinary people “ m’theydys or gentlethems ” . genuinely rethink what you’re doing, the whole point of being…",no,yes,yes,no,no,no
dnfhateaccount,PUPPY!! #9663 ☆,any pronouns | 14 | ♉︎ ,average quackity enjoyer,"RT @faevy__: people who call nonbinary people “ m’theydys or gentlethems ” . genuinely rethink what you’re doing, the whole point of being…",no,no,no,no,no,no
SobbingRat,Lee | #StopAsianHate | sleeping,#ACAB #BlackLivesMatter,"Any pronouns :)

#mcyttwt | #quacktwt | #genshintwt | #tubbotwt

@spadestor ❤

@kitsvkii is my bestie

carrd in pinned byf :)","RT @faevy__: people who call nonbinary people “ m’theydys or gentlethems ” . genuinely rethink what you’re doing, the whole point of being…",no,no,no,no,no,no
lesbooinn,alex!! PINNED📌,"THEY/HE/she,,minor,,cbyf ",beeduo&rocketduo lover..💤,"RT @faevy__: people who call nonbinary people “ m’theydys or gentlethems ” . genuinely rethink what you’re doing, the whole point of being…",yes,yes,yes,no,no,no
PUFFYCHUS,amelie ^_^,I'm a little monster 날 겁내 널 괴롭혀 내 꿈만 꾸게 해 난 춤 추고 놀래 가위 눌린 너의 그 몸 위에 주문을 걸면,THEY;XE,"RT @faevy__: people who call nonbinary people “ m’theydys or gentlethems ” . genuinely rethink what you’re doing, the whole point of being…",no,no,yes,no,yes,no
darkoaklogs,jazzy,she fae | pfp @yanteruu,origins smp enthusiast,"RT @faevy__: people who call nonbinary people “ m’theydys or gentlethems ” . genuinely rethink what you’re doing, the whole point of being…",no,yes,no,no,no,no
honkbriann,may ʚϊɞ,she/her,Gnf my little meow meow,"RT @faevy__: people who call nonbinary people “ m’theydys or gentlethems ” . genuinely rethink what you’re doing, the whole point of being…",no,yes,no,no,no,no
bonkingbees,Isabelle !,Minor !!,#TUBBO: I wanna be your favorite boy ◾️ #RANBOO: You are,"RT @faevy__: people who call nonbinary people “ m’theydys or gentlethems ” . genuinely rethink what you’re doing, the whole point of being…",no,no,no,no,no,no
minyobian,león⁷,family’s more than just dna. it’s about people who care and take care of each other.,— hottest transgay on twt ?! ★ he/they/xe,"RT @faevy__: people who call nonbinary people “ m’theydys or gentlethems ” . genuinely rethink what you’re doing, the whole point of being…",yes,no,yes,yes,yes,no
melodyynotfound,melody,she/they minor,no thoughts just dnf,"RT @faevy__: people who call nonbinary people “ m’theydys or gentlethems ” . genuinely rethink what you’re doing, the whole point of being…",no,yes,yes,no,no,no
genderplease,M:D,They/Xe/Zir|minor ,https://t.co/nAfmDOrKmK carrd by: @icuddlebunrry layout by @SAD_istfied,"RT @faevy__: people who call nonbinary people “ m’theydys or gentlethems ” . genuinely rethink what you’re doing, the whole point of being…",no,no,yes,no,yes,no
Vaninova_Arts,☄️ Vani ☄️ what do i put here,,Vani | He/They/It | Minor,"RT @faevy__: people who call nonbinary people “ m’theydys or gentlethems ” . genuinely rethink what you’re doing, the whole point of being…",yes,no,yes,yes,no,no
MoncherOf,Beef! (i don’t even know arc),they/them,"My name is made from letters of the alphabet. i also like Love Live, BNHA and Nintendo, DDLC, Undertale, actually getting sleep, you name it.",RT @applebbae: if you say “go they/them go” “m’theydies” “gentlethem” and u don’t use they/them pronouns i hope u choke,no,no,yes,yes,no,no
LightSatanism,bex,they/she,parasocial relationship with danny devito ♔ ᓚᘏᗢ cpfqgc,RT @applebbae: if you say “go they/them go” “m’theydies” “gentlethem” and u don’t use they/them pronouns i hope u choke,no,yes,yes,no,no,no
Quietasf,Silentbeauty030,,she/her | bootwt corpsetwt | pls don’t priv quote| call me Silent,RT @applebbae: if you say “go they/them go” “m’theydies” “gentlethem” and u don’t use they/them pronouns i hope u choke,no,yes,no,no,no,no
tobioscocaine,/tobi,they!he,i play minecraft and talk about things https://t.co/ve7Kn3DtzU,RT @applebbae: if you say “go they/them go” “m’theydies” “gentlethem” and u don’t use they/them pronouns i hope u choke,yes,no,yes,no,no,no
TauniMara,Tauni,FortDodge ,,@gentlethem__ I leave every conversation that we have either a better person or in a better mood. You are kind and… https://t.co/bR68O8t8Op,no,no,no,no,no,no
zer0err0rs_here,Zero ฅ^•ﻌ•^ฅ || Read pinned,ฅ^•ﻌ•^ฅ,𖠌 minor 𖠌 they/he 𖠌,"RT @faevy__: people who call nonbinary people “ m’theydys or gentlethems ” . genuinely rethink what you’re doing, the whole point of being…",yes,no,yes,no,no,no
ambrose_hq,ambrose #19,they/he ,"and the universe said the darkness you fight is within you, and the universe said the light you seek is within you","RT @faevy__: people who call nonbinary people “ m’theydys or gentlethems ” . genuinely rethink what you’re doing, the whole point of being…",yes,no,yes,no,no,no
